Name,Position,Current Position,Project Points,Opposition Rank,Points
Amon-Ra St. Brown,WR,WR,18.89,0,0
Derrick Henry,RB,RB,16.86,0,0
Drake London,WR,WR,15.23,0,0
Quinshon Judkins,RB,RB,14.07,0,0
Bhayshul Tuten,RB,RB/WR/TE,14.41,0,0
Jalen Hurts,QB,QB,24.44,0,0
TreVeyon Henderson,RB,RB/WR/TE,0.01,0,0
DK Metcalf,WR,BE,11.68,0,0
Jonathon Brooks,RB,BE,11.88,0,0
Matthew Golden,WR,BE,10.73,0,0
Brian Thomas Jr.,WR,BE,9.19,0,0
Jayden Reed,WR,BE,9.46,0,0
Mark Andrews,TE,BE,9.28,0,0
Tyler Shough,QB,BE,16.57,0,0
Steelers D/ST,D/ST,D/ST,15.33,0,0
Rashid Shaheed,WR,BE,9.21,0,0
Jake Bates,K,K,9.0,0,0
