Country,League
Worldwide,Clericus Cup
Worldwide,CONIFA World Football Cup
Worldwide,Viva World Cup
Worldwide,FIFI Wild Cup
Worldwide,Island Games
Worldwide,UNPO Cup
Worldwide,Europeada
Worldwide,ELF Cup
Worldwide,Homeless World Cup
Worldwide,Unofficial Football World Championships
Worldwide,Women's Unofficial Football World Championships
Intercontinental,Pan American Games
Intercontinental,Finalissima
Intercontinental,Women's Finalissima
Intercontinental,FIFA Confederations Cup
Intercontinental,Panamerican Championship
Intercontinental,Afro-Asian Cup of Nations
Intercontinental,AFC/OFC Challenge Cup
Invitational tournaments,Aisha Buhari Cup
Invitational tournaments,Algarve Cup
Invitational tournaments,Algeria International Football Tournament
Invitational tournaments,Aphrodite Women Cup
Invitational tournaments,Arnold Clark Cup
Invitational tournaments,Balaton Cup
Invitational tournaments,Bangabandhu Cup
Invitational tournaments,Cyprus Women's Cup
Invitational tournaments,FIFA Series
Invitational tournaments,FFA Cup of Nations
Invitational tournaments,Flying Officers Cup
Invitational tournaments,Four Nations Tournament
Invitational tournaments,Four Nations Tournament
Invitational tournaments,Intercontinental Cup
Invitational tournaments,Istria Cup
Invitational tournaments,King's Cup
Invitational tournaments,Kirin Cup Soccer
Invitational tournaments,Kirin Challenge Cup
Invitational tournaments,Lunar New Year Cup
Invitational tournaments,Pestabola Merdeka
Invitational tournaments,Pinatar Cup
Invitational tournaments,SheBelieves Cup
Invitational tournaments,Sud Ladies Cup
Invitational tournaments,Torneio Internacional de Futebol Feminino
Invitational tournaments,Tournoi de France
Invitational tournaments,Turkish Women's Cup
Invitational tournaments,VFF Cup
Invitational tournaments,Women's Baltic Cup
Invitational tournaments,Yongchuan International Tournament
Invitational tournaments,Australia Bicentenary Gold Cup
Invitational tournaments,Balkan Cup
Invitational tournaments,Brazil Independence Cup
Invitational tournaments,Canada Cup
Invitational tournaments,China Cup
Invitational tournaments,Corsica Football Cup
Invitational tournaments,Coupe de l'Outre-Mer
Invitational tournaments,CTFA International Tournament
Invitational tournaments,Cyprus International Football Tournament
Invitational tournaments,FA Summer Tournament
Invitational tournaments,Four Nations Tournament
Invitational tournaments,Friendship Tournament
Invitational tournaments,Fuchs International Tournament
Invitational tournaments,Hassan II Trophy
Invitational tournaments,Indonesian Independence Cup
Invitational tournaments,England Challenge Cup
Invitational tournaments,International Friendship Championship
Invitational tournaments,Jakarta Anniversary Tournament
Invitational tournaments,Korea Cup
Invitational tournaments,Kuneitra Cup
Invitational tournaments,LG Cup
Invitational tournaments,Malta women's tournament
Invitational tournaments,Marlboro Cup
Invitational tournaments,Merlion Cup
Invitational tournaments,Mundialito
Invitational tournaments,Nehru Cup
Invitational tournaments,Nordic Football Championship
Invitational tournaments,Peace Queen Cup
Invitational tournaments,Quaid-e-Azam International Tournament
Invitational tournaments,Rous Cup
Invitational tournaments,South Vietnam Independence Cup
Invitational tournaments,Taça das Nações
Invitational tournaments,Tournament of Nations
Invitational tournaments,Umbro Cup
Invitational tournaments,Unity Cup
Invitational tournaments,U.S.A. Bicentennial Cup Tournament
Invitational tournaments,World Champions' Gold Cup
Invitational tournaments,World Cup of Masters
Invitational tournaments,Women's World Invitational Tournament
Invitational tournaments,FIFA Arab Cup
Invitational tournaments,Arab Games
Invitational tournaments,Arab Women's Cup
Invitational tournaments,Arab Cup U-20
Invitational tournaments,Palestine Cup
Invitational tournaments,Islamic Solidarity Games
Invitational tournaments,Indian Ocean Island Games
Invitational tournaments,FIFA U-20 World Cup
Invitational tournaments,FIFA U-17 World Cup
Invitational tournaments,FIFA U-20 Women's World Cup
Invitational tournaments,FIFA U-17 Women's World Cup
Invitational tournaments,Summer Universiade
Invitational tournaments,Danone Nations Cup
Invitational tournaments,Montaigu Tournament
Invitational tournaments,Panda Cup
Invitational tournaments,SBS Cup
Invitational tournaments,SuperCupNI
