Sport,League,Team,City,State/Prov,Country
Soccer,MLS,Atlanta United FC,Atlanta,Georgia,USA
Soccer,MLS,Charlotte FC,Charlotte,North Carolina,USA
Soccer,MLS,Chicago Fire FC,Chicago,Illinois,USA
Soccer,MLS,FC Cincinnati,Cincinnati,Ohio,USA
Soccer,MLS,Columbus Crew,Columbus,Ohio,USA
Soccer,MLS,D.C. United,Washington,D.C.,USA
Soccer,MLS,Inter Miami CF,Miami,Florida,USA
Soccer,MLS,CF Montréal,Montreal,Québec,Canada
Soccer,MLS,Nashville SC,Nashville,Tennessee,USA
Soccer,MLS,New England Revolution,Foxborough,Massachusetts,USA
Soccer,MLS,New York City FC,Bronx,New York,USA
Soccer,MLS,New York Red Bulls,Harrison,New Jersey,USA
Soccer,MLS,Orlando City SC,Orlando,Florida,USA
Soccer,MLS,Philadelphia Union,Chester,Pennsylvania,USA
Soccer,MLS,Toronto FC,Toronto,Ontario,Canada
Soccer,MLS,Austin FC,Austin,Texas,USA
Soccer,MLS,Colorado Rapids,Commerce City,Colorado,USA
Soccer,MLS,FC Dallas,Frisco,Texas,USA
Soccer,MLS,Houston Dynamo FC,Houston,Texas,USA
Soccer,MLS,Sporting Kansas City,Kansas City,Kansas,USA
Soccer,MLS,LA Galaxy,Carson,California,USA
Soccer,MLS,Los Angeles FC,Los Angeles,California,USA
Soccer,MLS,Minnesota United FC,Saint Paul,Minnesota,USA
Soccer,MLS,Portland Timbers,Portland,Oregon,USA
Soccer,MLS,Real Salt Lake,Sandy,Utah,USA
Soccer,MLS,San Diego FC,San Diego,California,USA
Soccer,MLS,San Jose Earthquakes,San Jose,California,USA
Soccer,MLS,Seattle Sounders FC,Seattle,Washington,USA
Soccer,MLS,St. Louis City SC,St. Louis,Missouri,USA
Soccer,MLS,Vancouver Whitecaps FC,Vancouver,British Columbia,Canada
Soccer,USL Championship,Birmingham Legion FC,Birmingham,Alabama,USA
Soccer,USL Championship,Brooklyn FC,Brooklyn,New York,USA
Soccer,USL Championship,Charleston Battery,Mount Pleasant,South Carolina,USA
Soccer,USL Championship,Detroit City FC,Hamtramck,Michigan,USA
Soccer,USL Championship,Hartford Athletic,Hartford,Connecticut,USA
Soccer,USL Championship,Indy Eleven,Indianapolis,Indiana,USA
Soccer,USL Championship,Loudoun United FC,Leesburg,Virginia,USA
Soccer,USL Championship,Louisville City FC,Louisville,Kentucky,USA
Soccer,USL Championship,Miami FC,University Park,Florida,USA
Soccer,USL Championship,Pittsburgh Riverhounds SC,Pittsburgh,Pennsylvania,USA
Soccer,USL Championship,Rhode Island FC,Pawtucket,Rhode Island,USA
Soccer,USL Championship,Sporting Club Jacksonville,Jacksonville,Florida,USA
Soccer,USL Championship,Tampa Bay Rowdies,St. Petersburg,Florida,USA
