City,State/Prov,Country,Soccer,Baseball,Hockey
Abbotsford,British Columbia,Canada,0,0,1
Aberdeen,South Dakota,USA,0,0,1
Affton,Missouri,USA,0,0,1
Akron,Ohio,USA,0,1,0
Albuquerque,New Mexico,USA,1,1,2
Alexandria,Minnesota,USA,0,0,1
Allen,Texas,USA,0,0,1
Allentown,Pennsylvania,USA,0,1,1
Alma,Québec,Canada,1,0,0
Alpine,Texas,USA,0,1,0
Altoona,Pennsylvania,USA,0,1,0
Amarillo,Texas,USA,0,1,2
Amherst,Nova Scotia,Canada,0,0,1
Anaheim,California,USA,0,1,1
Anchorage,Alaska,USA,0,0,1
Appleton,Wisconsin,USA,0,1,1
Arlington,Texas,USA,0,1,0
Asheville,North Carolina,USA,0,1,0
Ashwaubenon,Wisconsin,USA,0,0,1
Athens,Georgia,USA,0,0,1
Atlanta,Georgia,USA,2,0,0
Augusta,Georgia,USA,0,0,1
Augusta,New Jersey,USA,0,1,0
Aurora,Ontario,Canada,0,0,1
Austin,Minnesota,USA,0,0,1
Austin,Texas,USA,1,1,0
Avon,Ohio,USA,0,1,0
Baie-Comeau,Quebec,Canada,0,0,1
Bakersfield,California,USA,0,1,1
Baltimore,Maryland,USA,0,1,0
Barrie,Ontario,Canada,1,0,1
Bathurst,New Brunswick,Canada,0,0,1
Baton Rouge,Louisiana,USA,0,0,1
Belleville,Ontario,Canada,0,0,1
Beloit,Wisconsin,USA,0,1,0
Berwick,Nova Scotia,Canada,0,0,1
Billings,Montana,USA,0,1,1
Biloxi,Mississippi,USA,0,1,0
Binghamton,New York,USA,0,1,2
Birmingham,Alabama,USA,1,1,0
Bismarck,North Dakota,USA,0,0,1
Blackwell,Oklahoma,USA,0,1,0
Blaine,Minnesota,USA,0,0,1
Blainville,Québec,Canada,1,0,0
Blind River,Ontario,Canada,0,0,1
Bloomington,Illinois,USA,0,0,1
Bois-des-Filion,Québec,Canada,1,0,0
Boisbriand,Quebec,Canada,0,0,1
Boise,Idaho,USA,0,1,1
Bonnyville,Alberta,Canada,0,0,1
Boston,Massachusetts,USA,0,1,1
Boucherville,Québec,Canada,1,0,0
Bouctouche,New Brunswick,Canada,0,0,1
Bowie,Maryland,USA,0,1,0
Bowling Green,Kentucky,USA,0,1,0
Bozeman,Montana,USA,0,0,1
Bradenton,Florida,USA,0,1,0
Brampton,Ontario,Canada,0,0,1
Brandon,Manitoba,Canada,0,0,1
Brantford,Ontario,Canada,0,1,1
Brick Township,New Jersey,USA,0,0,1
Bridgewater,New Jersey,USA,0,1,0
Brockton,Massachusetts,USA,0,1,0
Brockville,Ontario,Canada,0,0,1
Bronx,New York,USA,1,0,0
Brookfield,Wisconsin,USA,0,0,1
Brooklyn,New York,USA,1,1,0
Brossard,Québec,Canada,1,0,0
Buffalo,New York,USA,2,1,2
Burlington,Ontario,Canada,1,0,1
Burnaby,British Columbia,Canada,3,0,1
Butte,Montana,USA,0,0,1
Caledon,Ontario,Canada,0,0,1
Calgary,Alberta,Canada,8,0,5
Cambridge,Ontario,Canada,1,0,0
Campbellton,New Brunswick,Canada,0,0,1
Camrose,Alberta,Canada,0,0,1
Canmore,Alberta,Canada,0,0,1
Canton,Massachusetts,USA,0,0,1
Cape Breton Regional Municipality,Nova Scotia,Canada,0,0,1
Carleton Place,Ontario,Canada,0,0,1
Carson,California,USA,1,0,0
Cary,North Carolina,USA,1,0,0
Cedar Park,Texas,USA,0,0,2
Cedar Rapids,Iowa,USA,0,1,1
Celina,Texas,USA,1,0,0
Centennial,Colorado,USA,1,0,0
Central Islip,New York,USA,0,1,0
Charleston,South Carolina,USA,0,1,0
Charleston,West Virginia,USA,0,1,0
Charlotte,North Carolina,USA,3,1,1
Charlottetown,Prince Edward Island,Canada,0,0,1
Chatham-Kent,Ontario,Canada,0,1,0
Chattanooga,Tennessee,USA,1,1,0
Chaudiere-Appalaches,Quebec,Canada,0,0,1
Chester,Pennsylvania,USA,1,0,0
Chicago,Illinois,USA,1,2,1
Chilliwack,British Columbia,Canada,0,0,1
Cincinnati,Ohio,USA,1,1,1
Clarence-Rockland,Ontario,Canada,0,0,1
Clearwater,Florida,USA,0,1,0
Cleburne,Texas,USA,0,1,0
Cleveland,Ohio,USA,1,1,1
Cloquet,Minnesota,USA,0,0,1
Cobourg,Ontario,Canada,0,0,1
Cody,Wyoming,USA,0,0,1
College Station,Texas,USA,0,0,1
Collingwood,Ontario,Canada,0,0,1
Colorado Springs,Colorado,USA,1,0,0
Columbia,South Carolina,USA,0,1,0
Columbus,Georgia,USA,0,1,1
Columbus,Indiana,USA,0,0,1
Columbus,Ohio,USA,2,1,1
Commerce City,Colorado,USA,1,0,0
Comstock Park,Michigan,USA,0,1,0
Cornwall,Ontario,Canada,0,0,1
Corpus Christi,Texas,USA,1,1,1
Crestwood,Illinois,USA,0,1,0
Cumberland,Georgia,USA,0,1,0
Dallas,Texas,USA,2,0,1
Danbury,Connecticut,USA,0,0,2
Dauphin,Manitoba,Canada,0,0,1
Davenport,Iowa,USA,0,1,0
Dayton,Ohio,USA,0,1,0
Daytona Beach,Florida,USA,0,1,0
Delta,British Columbia,Canada,0,0,1
Denver,Colorado,USA,0,1,1
Des Moines,Iowa,USA,2,1,1
Detroit,Michigan,USA,0,1,1
Devon,Alberta,Canada,0,0,1
Dollard-des-Ormeaux,Québec,Canada,1,0,0
Drayton Valley,Alberta,Canada,0,0,1
Drumheller,Alberta,Canada,0,0,1
Drummondville,Quebec,Canada,0,0,1
Dryden,Ontario,Canada,0,0,1
Dublin,California,USA,0,1,0
