League,Section,Link type,URL
Ontario Hockey League,Major junior,internal,https://en.wikipedia.org/wiki/Ontario_Hockey_League
Quebec Maritimes Junior Hockey League,Major junior,internal,https://en.wikipedia.org/wiki/Quebec_Maritimes_Junior_Hockey_League
Western Hockey League,Major junior,internal,https://en.wikipedia.org/wiki/Western_Hockey_League
Canadian Junior Hockey League,Junior A,internal,https://en.wikipedia.org/wiki/Canadian_Junior_Hockey_League
Alberta Junior Hockey League,Junior A,internal,https://en.wikipedia.org/wiki/Alberta_Junior_Hockey_League
British Columbia Hockey Conference,Junior A,internal,https://en.wikipedia.org/wiki/British_Columbia_Hockey_Conference
Central Canada Hockey League,Junior A,internal,https://en.wikipedia.org/wiki/Central_Canada_Hockey_League
Quebec Junior Hockey League,Junior A,internal,https://en.wikipedia.org/wiki/Quebec_Junior_Hockey_League
Manitoba Junior Hockey League,Junior A,internal,https://en.wikipedia.org/wiki/Manitoba_Junior_Hockey_League
Maritime Junior A Hockey League,Junior A,internal,https://en.wikipedia.org/wiki/Maritime_Junior_A_Hockey_League
Northern Ontario Junior Hockey League,Junior A,internal,https://en.wikipedia.org/wiki/Northern_Ontario_Junior_Hockey_League
Ontario Junior Hockey League,Junior A,internal,https://en.wikipedia.org/wiki/Ontario_Junior_Hockey_League
Saskatchewan Junior Hockey League,Junior A,internal,https://en.wikipedia.org/wiki/Saskatchewan_Junior_Hockey_League
Superior International Junior Hockey League,Junior A,internal,https://en.wikipedia.org/wiki/Superior_International_Junior_Hockey_League
Kootenay International Junior Hockey League,Junior A,internal,https://en.wikipedia.org/wiki/Kootenay_International_Junior_Hockey_League
Pacific Junior Hockey League,Junior A,internal,https://en.wikipedia.org/wiki/Pacific_Junior_Hockey_League
United States Hockey League,Tier I,internal,https://en.wikipedia.org/wiki/United_States_Hockey_League
North American Hockey League,Tier II,internal,https://en.wikipedia.org/wiki/North_American_Hockey_League
North American 3 Hockey League,Tier III,internal,https://en.wikipedia.org/wiki/North_American_3_Hockey_League
Alberta Elite Junior Hockey League,Independent junior leagues,external,https://aejhl.com/home
British Columbia Hockey League,Independent junior leagues,internal,https://en.wikipedia.org/wiki/British_Columbia_Hockey_League
Eastern Hockey League,Independent junior leagues,internal,https://en.wikipedia.org/wiki/Eastern_Hockey_League_(2013%E2%80%93)
Greater Metro Junior A Hockey League,Independent junior leagues,internal,https://en.wikipedia.org/wiki/Greater_Metro_Junior_A_Hockey_League
Manitoba Major Junior Hockey League,Independent junior leagues,internal,https://en.wikipedia.org/wiki/Manitoba_Major_Junior_Hockey_League
National Junior Hockey League,Independent junior leagues,external,https://www.njhlhockey.com/home
United States Premier Hockey League,Independent junior leagues,internal,https://en.wikipedia.org/wiki/United_States_Premier_Hockey_League
National Collegiate Development Conference,Independent junior leagues,internal,https://en.wikipedia.org/wiki/National_Collegiate_Development_Conference
Vancouver Island Junior Hockey League,Independent junior leagues,internal,https://en.wikipedia.org/wiki/Vancouver_Island_Junior_Hockey_League
Western International Junior Hockey League,Independent junior leagues,internal,https://en.wikipedia.org/wiki/Western_International_Junior_Hockey_League
Calgary Junior Hockey League,Junior B,internal,https://en.wikipedia.org/wiki/Calgary_Junior_Hockey_League
Capital Junior Hockey League,Junior B,internal,https://en.wikipedia.org/wiki/Capital_Junior_Hockey_League
Capital Region Junior Hockey League,Junior B,internal,https://en.wikipedia.org/wiki/Capital_Region_Junior_Hockey_League
Eastern Ontario Junior Hockey League,Junior B,internal,https://en.wikipedia.org/wiki/Eastern_Ontario_Junior_Hockey_League
Greater Ontario Junior Hockey League,Junior B,internal,https://en.wikipedia.org/wiki/Greater_Ontario_Junior_Hockey_League
OHA,Junior B,internal,https://en.wikipedia.org/wiki/Ontario_Hockey_Association
Heritage Junior B Hockey League,Junior B,internal,https://en.wikipedia.org/wiki/Heritage_Junior_B_Hockey_League
Island Junior Hockey League,Junior B,internal,https://en.wikipedia.org/wiki/Island_Junior_Hockey_League
Keystone Junior Hockey League,Junior B,internal,https://en.wikipedia.org/wiki/Keystone_Junior_Hockey_League
Lakehead Junior Hockey League,Junior B,internal,https://en.wikipedia.org/wiki/Lakehead_Junior_Hockey_League
Ligue de Hockey de La Capitale,Junior B,internal,https://en.wikipedia.org/wiki/Capitale_Junior_AA_Hockey_League
Ligue de Hockey Chaudière-Appalaches Junior AA,Junior B,internal,https://en.wikipedia.org/wiki/Chaudiere-Appalaches_Junior_AA_Hockey_League
Ligue de Hockey Estrie-Mauricie Junior AA,Junior B,internal,https://en.wikipedia.org/wiki/Estrie-Mauricie_Junior_AA_Hockey_League
Ligue de Hockey Lac St. Louis Junior AA,Junior B,internal,https://en.wikipedia.org/wiki/Lac_St-Louis_Junior_AA_Hockey_League
Ligue de Hockey Laurentides-Lanaudière Junior AA*,Junior B,internal,https://en.wikipedia.org/wiki/Laurentides-Lanaudi%C3%A8re_Junior_AA_Hockey_League
Ligue de Hockey Métropolitaine Junior AA,Junior B,internal,https://en.wikipedia.org/wiki/M%C3%A9tropolitaine_Junior_AA_Hockey_League
Ligue de Hockey Saguenay-Lac-St-Jean Junior AA,Junior B,internal,https://en.wikipedia.org/wiki/Saguenay-Lac-St-Jean_Junior_AA_Hockey_League
New Brunswick Junior B Hockey League,Junior B,internal,https://en.wikipedia.org/wiki/New_Brunswick_Junior_B_Hockey_League
North Eastern Alberta Junior B Hockey League,Junior B,internal,https://en.wikipedia.org/wiki/North_Eastern_Alberta_Junior_B_Hockey_League
North West Junior Hockey League,Junior B,internal,https://en.wikipedia.org/wiki/North_West_Junior_Hockey_League
Nova Scotia Junior Hockey League,Junior B,internal,https://en.wikipedia.org/wiki/Nova_Scotia_Junior_Hockey_League
Prairie Junior Hockey League,Junior B,internal,https://en.wikipedia.org/wiki/Prairie_Junior_Hockey_League
North Saskatchewan Junior B Hockey League,Junior B,internal,https://en.wikipedia.org/wiki/North_Saskatchewan_Junior_B_Hockey_League
St. John's Junior Hockey League,Junior B,internal,https://en.wikipedia.org/wiki/St._John%27s_Junior_Hockey_League
Calgary Junior C Hockey League,Junior C,internal,https://en.wikipedia.org/wiki/Hockey_Calgary#Calgary_Junior_C_Hockey_League
Hanover Tache Junior Hockey League,Junior C,internal,https://en.wikipedia.org/wiki/Hanover_Tache_Junior_Hockey_League
Ligue de Hockey Junior A Bois-Francs,Junior C,internal,https://en.wikipedia.org/wiki/Ligue_de_Hockey_Junior_A_Bois-Francs
Ligue de Hockey Junior A Rive-Sud,Junior C,internal,https://en.wikipedia.org/wiki/Ligue_de_Hockey_Junior_A_Rive-Sud
Ligue Interzone de hockey mineur BC Rive Nord (Junior A),Junior C,internal,https://en.wikipedia.org/wiki/Ligue_Interzone_de_hockey_mineur_BC_Rive_Nord
National Capital Junior Hockey League,Junior C,internal,https://en.wikipedia.org/wiki/National_Capital_Junior_Hockey_League
Noralta Junior Hockey League,Junior C,internal,https://en.wikipedia.org/wiki/Noralta_Junior_Hockey_League
Nova Scotia Regional Junior Hockey League,Junior C,internal,https://en.wikipedia.org/wiki/Nova_Scotia_Junior_C_Hockey_League
Prince Edward Island Junior C Hockey League,Junior C,internal,https://en.wikipedia.org/wiki/Prince_Edward_Island_Junior_C_Hockey_League
Provincial Junior Hockey League,Junior C,internal,https://en.wikipedia.org/wiki/Provincial_Junior_Hockey_League
Qu'Appelle Valley Hockey League,Junior C,internal,https://en.wikipedia.org/wiki/Qu%27Appelle_Valley_Hockey_League
Ligue Interzone de hockey mineur BC Rive Nord (Junior B),Junior D,internal,https://en.wikipedia.org/wiki/Ligue_Interzone_de_hockey_mineur_BC_Rive_Nord
