Table,Team,Division,City,State,Stadium,Capacity,Affiliate,State/Province,City (all in Florida),City (all in California),City (all in Arizona),Province,Affiliates
Overview of International League teams,Buffalo Bisons,East,Buffalo,New York,Sahlen Field,16600,Toronto Blue Jays,,,,,,
Overview of International League teams,Charlotte Knights,East,Charlotte,North Carolina,Truist Field,10200,Chicago White Sox,,,,,,
Overview of International League teams,Columbus Clippers,West,Columbus,Ohio,Huntington Park,10100,Cleveland Guardians,,,,,,
Overview of International League teams,Durham Bulls,East,Durham,North Carolina,Durham Bulls Athletic Park,10000,Tampa Bay Rays,,,,,,
Overview of International League teams,Gwinnett Stripers,West,Lawrenceville,Georgia,Gwinnett Field,10427,Atlanta Braves,,,,,,
Overview of International League teams,Indianapolis Indians,West,Indianapolis,Indiana,Victory Field,14230,Pittsburgh Pirates,,,,,,
Overview of International League teams,Iowa Cubs,West,Des Moines,Iowa,Principal Park,11500,Chicago Cubs,,,,,,
Overview of International League teams,Jacksonville Jumbo Shrimp,East,Jacksonville,Florida,VyStar Ballpark,11000,Miami Marlins,,,,,,
Overview of International League teams,Lehigh Valley IronPigs,East,Allentown,Pennsylvania,Coca-Cola Park,10100,Philadelphia Phillies,,,,,,
Overview of International League teams,Louisville Bats,West,Louisville,Kentucky,Louisville Slugger Field,13131,Cincinnati Reds,,,,,,
Overview of International League teams,Memphis Redbirds,West,Memphis,Tennessee,AutoZone Park,10000,St. Louis Cardinals,,,,,,
Overview of International League teams,Nashville Sounds,West,Nashville,Tennessee,First Horizon Park,10000,Milwaukee Brewers,,,,,,
Overview of International League teams,Norfolk Tides,East,Norfolk,Virginia,Harbor Park,11856,Baltimore Orioles,,,,,,
Overview of International League teams,Omaha Storm Chasers,West,Papillion,Nebraska,Werner Park,9023,Kansas City Royals,,,,,,
Overview of International League teams,Rochester Red Wings,East,Rochester,New York,ESL Ballpark,10840,Washington Nationals,,,,,,
Overview of International League teams,Scranton/Wilkes-Barre RailRiders,East,Moosic,Pennsylvania,PNC Field,10000,New York Yankees,,,,,,
Overview of International League teams,St. Paul Saints,West,Saint Paul,Minnesota,CHS Field,7210,Minnesota Twins,,,,,,
Overview of International League teams,Syracuse Mets,East,Syracuse,New York,NBT Bank Stadium,11731,New York Mets,,,,,,
Overview of International League teams,Toledo Mud Hens,West,Toledo,Ohio,Fifth Third Field,10300,Detroit Tigers,,,,,,
Overview of International League teams,Worcester Red Sox,East,Worcester,Massachusetts,Polar Park,9508,Boston Red Sox,,,,,,
Overview of Pacific Coast League teams,Albuquerque Isotopes,East,Albuquerque,New Mexico,Rio Grande Credit Union Field at Isotopes Park,13500,Colorado Rockies,,,,,,
Overview of Pacific Coast League teams,El Paso Chihuahuas,East,El Paso,Texas,Southwest University Park,9500,San Diego Padres,,,,,,
Overview of Pacific Coast League teams,Las Vegas Aviators,West,Las Vegas,Nevada,Las Vegas Ballpark,10000,Athletics,,,,,,
Overview of Pacific Coast League teams,Oklahoma City Comets,East,Oklahoma City,Oklahoma,Chickasaw Bricktown Ballpark,9000,Los Angeles Dodgers,,,,,,
Overview of Pacific Coast League teams,Reno Aces,West,Reno,Nevada,Greater Nevada Field,9013,Arizona Diamondbacks,,,,,,
Overview of Pacific Coast League teams,Round Rock Express,East,Round Rock,Texas,Dell Diamond,11631,Texas Rangers,,,,,,
Overview of Pacific Coast League teams,Sacramento River Cats,West,West Sacramento,California,Sutter Health Park,14014,San Francisco Giants,,,,,,
Overview of Pacific Coast League teams,Salt Lake Bees,West,South Jordan,Utah,Ballpark at America First Square,8500,Los Angeles Angels,,,,,,
Overview of Pacific Coast League teams,Sugar Land Space Cowboys,East,Sugar Land,Texas,Constellation Field,7500,Houston Astros,,,,,,
Overview of Pacific Coast League teams,Tacoma Rainiers,West,Tacoma,Washington,Cheney Stadium,6500,Seattle Mariners,,,,,,
Overview of Eastern League teams,Akron RubberDucks,Southwest,Akron,Ohio,7 17 Credit Union Park,9097,Cleveland Guardians,,,,,,
Overview of Eastern League teams,Altoona Curve,Southwest,Altoona,Pennsylvania,Peoples Natural Gas Field,7210,Pittsburgh Pirates,,,,,,
Overview of Eastern League teams,Binghamton Rumble Ponies,Northeast,Binghamton,New York,Mirabito Stadium,6012,New York Mets,,,,,,
Overview of Eastern League teams,Chesapeake Baysox,Southwest,Bowie,Maryland,Prince George's Stadium,10000,Baltimore Orioles,,,,,,
Overview of Eastern League teams,Erie SeaWolves,Southwest,Erie,Pennsylvania,UPMC Park,6952,Detroit Tigers,,,,,,
Overview of Eastern League teams,Harrisburg Senators,Southwest,Harrisburg,Pennsylvania,FNB Field,6187,Washington Nationals,,,,,,
Overview of Eastern League teams,Hartford Yard Goats,Northeast,Hartford,Connecticut,Dunkin' Park,6000,Colorado Rockies,,,,,,
Overview of Eastern League teams,New Hampshire Fisher Cats,Northeast,Manchester,New Hampshire,Delta Dental Stadium,6500,Toronto Blue Jays,,,,,,
Overview of Eastern League teams,Portland Sea Dogs,Northeast,Portland,Maine,Hadlock Field,7368,Boston Red Sox,,,,,,
Overview of Eastern League teams,Reading Fightin Phils,Northeast,Reading,Pennsylvania,FirstEnergy Stadium,9000,Philadelphia Phillies,,,,,,
Overview of Eastern League teams,Richmond Flying Squirrels,Southwest,Richmond,Virginia,CarMax Park,10000,San Francisco Giants,,,,,,
Overview of Eastern League teams,Somerset Patriots,Northeast,Bridgewater,New Jersey,TD Bank Ballpark,6100,New York Yankees,,,,,,
Overview of Southern League teams,Biloxi Shuckers,South,Biloxi,Mississippi,Keesler Federal Park,6000,Milwaukee Brewers,,,,,,
Overview of Southern League teams,Birmingham Barons,North,Birmingham,Alabama,Regions Field,8500,Chicago White Sox,,,,,,
Overview of Southern League teams,Chattanooga Lookouts,North,Chattanooga,Tennessee,Erlanger Park,8032,Cincinnati Reds,,,,,,
Overview of Southern League teams,Columbus Clingstones,South,Columbus,Georgia,Synovus Park,5500,Atlanta Braves,,,,,,
