League,Source file,0,1,2,3,4,5,6,Division,Team,Joined,Location,Arena,Conference
Eastern Hockey League  2013  ,Eastern_Hockey_League__2013__.html,Eastern Hockey League,Eastern Hockey League,Eastern Hockey League,Eastern Hockey League,Eastern Hockey League,Eastern Hockey League,Eastern Hockey League,,,,,,
Eastern Hockey League  2013  ,Eastern_Hockey_League__2013__.html,Division,Team,Arena,Location,Joined,,,,,,,,
Eastern Hockey League  2013  ,Eastern_Hockey_League__2013__.html,North,,,,,,,,,,,,
Eastern Hockey League  2013  ,Eastern_Hockey_League__2013__.html,North,East Coast Wizards,Edge Sports Center,"Bedford, Massachusetts",2014,,,,,,,,
Eastern Hockey League  2013  ,Eastern_Hockey_League__2013__.html,North,New England Wolves,Merrill Fay Arena,"Laconia, New Hampshire",2005[a 1],,,,,,,,
Eastern Hockey League  2013  ,Eastern_Hockey_League__2013__.html,North,New Hampshire Avalanche,Ice Den Arena,"Hooksett, New Hampshire",2017,,,,,,,,
Eastern Hockey League  2013  ,Eastern_Hockey_League__2013__.html,North,Valley Jr. Warriors,Haverhill Valley Forum,"Haverhill, Massachusetts",2013,,,,,,,,
Eastern Hockey League  2013  ,Eastern_Hockey_League__2013__.html,East,,,,,,,,,,,,
Eastern Hockey League  2013  ,Eastern_Hockey_League__2013__.html,East,Boston Junior Eagles,Boston Sports Institute,"Needham, Massachusetts",2024,,,,,,,,
Eastern Hockey League  2013  ,Eastern_Hockey_League__2013__.html,East,Bridgewater Bandits,Bridgewater Ice Arena,"Bridgewater, Massachusetts",2023[a 2],,,,,,,,
Eastern Hockey League  2013  ,Eastern_Hockey_League__2013__.html,East,Express Hockey Club,Rodman Arena,"Walpole, Massachusetts",2005,,,,,,,,
Eastern Hockey League  2013  ,Eastern_Hockey_League__2013__.html,East,Seahawks Hockey Club,Tony Kent Arena,"South Dennis, Massachusetts",2017,,,,,,,,
Eastern Hockey League  2013  ,Eastern_Hockey_League__2013__.html,Central,Connecticut Nor'Easter,International Skating Center,"Simsbury, Connecticut",2012[a 1],,,,,,,,
Eastern Hockey League  2013  ,Eastern_Hockey_League__2013__.html,Central,Connecticut RoughRiders,SoNo Icehouse,"Norwalk, Connecticut",2013,,,,,,,,
Eastern Hockey League  2013  ,Eastern_Hockey_League__2013__.html,Central,HC Rhode Island,Thayer Arena,"Warwick, Rhode Island",2022,,,,,,,,
Eastern Hockey League  2013  ,Eastern_Hockey_League__2013__.html,Central,New York Apple Core,Brewster Ice Arena,"Brewster, New York",2013,,,,,,,,
