League,Source file,Division,Team,Home,Arena,0,1,2,3,4,5,6,7,8,9,10,Conference,City,Centre,Joined
Alberta Junior Hockey League,Alberta_Junior_Hockey_League.html,North,Bonnyville Pontiacs,Bonnyville,R. J. Lalonde Arena,,,,,,,,,,,,,,,
Alberta Junior Hockey League,Alberta_Junior_Hockey_League.html,North,Devon Xtreme,Devon,Dale Fisher Arena,,,,,,,,,,,,,,,
Alberta Junior Hockey League,Alberta_Junior_Hockey_League.html,North,Fort McMurray Oil Barons,Fort McMurray,Centerfire Place,,,,,,,,,,,,,,,
Alberta Junior Hockey League,Alberta_Junior_Hockey_League.html,North,Grande Prairie Storm,Grande Prairie,Bonnetts Energy Centre,,,,,,,,,,,,,,,
Alberta Junior Hockey League,Alberta_Junior_Hockey_League.html,North,Lloydminster Bobcats,Lloydminster,Cenovus Energy Hub,,,,,,,,,,,,,,,
Alberta Junior Hockey League,Alberta_Junior_Hockey_League.html,North,Whitecourt Wolverines,Whitecourt,JDA Place,,,,,,,,,,,,,,,
Alberta Junior Hockey League,Alberta_Junior_Hockey_League.html,South,Calgary Canucks,Calgary,Ken Bracko Arena,,,,,,,,,,,,,,,
Alberta Junior Hockey League,Alberta_Junior_Hockey_League.html,South,Camrose Kodiaks,Camrose,EnCana Arena,,,,,,,,,,,,,,,
Alberta Junior Hockey League,Alberta_Junior_Hockey_League.html,South,Canmore Eagles,Canmore,Canmore Recreation Centre,,,,,,,,,,,,,,,
Alberta Junior Hockey League,Alberta_Junior_Hockey_League.html,South,Drayton Valley Thunder,Drayton Valley,Omniplex,,,,,,,,,,,,,,,
Alberta Junior Hockey League,Alberta_Junior_Hockey_League.html,South,Drumheller Dragons,Drumheller,Drumheller Memorial Arena,,,,,,,,,,,,,,,
Alberta Junior Hockey League,Alberta_Junior_Hockey_League.html,South,Olds Grizzlys,Olds,Olds & District Sports Complex,,,,,,,,,,,,,,,
Alberta Junior Hockey League,Alberta_Junior_Hockey_League.html,South,,,,,,,,,,,,,,,,,,
British Columbia Hockey Conference,British_Columbia_Hockey_Conference.html,,,,,Interior Division,Interior Division,Interior Division,Interior Division,Interior Division,,,,,,,,,,
British Columbia Hockey Conference,British_Columbia_Hockey_Conference.html,,,,,Team,City,Arena,Founded,Joined,,,,,,,,,,
British Columbia Hockey Conference,British_Columbia_Hockey_Conference.html,,,,,Kamloops Storm,Kamloops,MacArthur Island Arena,1976,2026,,,,,,,,,,
British Columbia Hockey Conference,British_Columbia_Hockey_Conference.html,,,,,Merritt Centennials,Merritt,Nicola Valley Memorial Arena,1961,2026,,,,,,,,,,
British Columbia Hockey Conference,British_Columbia_Hockey_Conference.html,,,,,Princeton Posse,Princeton,Princeton & District Multipurpose Arena,1993,2026,,,,,,,,,,
British Columbia Hockey Conference,British_Columbia_Hockey_Conference.html,,,,,Quesnel River Rush,Quesnel,West Fraser Centre,2009,2026,,,,,,,,,,
British Columbia Hockey Conference,British_Columbia_Hockey_Conference.html,,,,,Revelstoke Grizzlies,Revelstoke,Revelstoke Forum,1993,2026,,,,,,,,,,
British Columbia Hockey Conference,British_Columbia_Hockey_Conference.html,,,,,Summerland Jets,Summerland,Summerland Arena,2026,2026,,,,,,,,,,
British Columbia Hockey Conference,British_Columbia_Hockey_Conference.html,,,,,Williams Lake Mustangs,Williams Lake,Cariboo Memorial Recreation Centre,2011,2026,,,,,,,,,,
British Columbia Hockey Conference,British_Columbia_Hockey_Conference.html,,,,,Kootenay Division,Kootenay Division,Kootenay Division,Kootenay Division,Kootenay Division,,,,,,,,,,
British Columbia Hockey Conference,British_Columbia_Hockey_Conference.html,,,,,Team,City,Arena,Founded,Joined,,,,,,,,,,
British Columbia Hockey Conference,British_Columbia_Hockey_Conference.html,,,,,Beaver Valley Nitehawks,Fruitvale,Beaver Valley Arena,1981,2026,,,,,,,,,,
British Columbia Hockey Conference,British_Columbia_Hockey_Conference.html,,,,,Columbia Valley Rockies,Invermere,Eddie Mountain Memorial Arena,1978,2026,,,,,,,,,,
British Columbia Hockey Conference,British_Columbia_Hockey_Conference.html,,,,,Fernie Ghostriders,Fernie,Fernie Memorial Arena,1991,2026,,,,,,,,,,
British Columbia Hockey Conference,British_Columbia_Hockey_Conference.html,,,,,Grand Forks Border Bruins,Grand Forks,Jack Goddard Memorial Arena,1967,2026,,,,,,,,,,
British Columbia Hockey Conference,British_Columbia_Hockey_Conference.html,,,,,Kimberley Dynamiters,Kimberley,Kimberley Civic Centre,1972,2026,,,,,,,,,,
British Columbia Hockey Conference,British_Columbia_Hockey_Conference.html,,,,,Nelson Leafs,Nelson,Nelson and District Community Complex,1965,2026,,,,,,,,,,
British Columbia Hockey Conference,British_Columbia_Hockey_Conference.html,,,,,Osoyoos Coyotes,Osoyoos,Osoyoos Sunbowl Arena,2010,2026,,,,,,,,,,
British Columbia Hockey Conference,British_Columbia_Hockey_Conference.html,,,,,Mainland Division,Mainland Division,Mainland Division,Mainland Division,Mainland Division,,,,,,,,,,
British Columbia Hockey Conference,British_Columbia_Hockey_Conference.html,,,,,Team,City,Arena,Founded,Joined,,,,,,,,,,
British Columbia Hockey Conference,British_Columbia_Hockey_Conference.html,,,,,Burnaby Steelers,Burnaby,Burnaby Winter Club,1967,2026,,,,,,,,,,
British Columbia Hockey Conference,British_Columbia_Hockey_Conference.html,,,,,Chilliwack Jets,Chilliwack,Sardis Sports Complex,2020,2026,,,,,,,,,,
British Columbia Hockey Conference,British_Columbia_Hockey_Conference.html,,,,,Coastal Tsunami,Gibsons,Gibsons & Area Community Centre,2024,2026,,,,,,,,,,
British Columbia Hockey Conference,British_Columbia_Hockey_Conference.html,,,,,Delta Ice Hawks,Delta,Sungod Recreation Centre,1997,2026,,,,,,,,,,
British Columbia Hockey Conference,British_Columbia_Hockey_Conference.html,,,,,Langley Trappers,Langley,George Preston Recreation Centre,2017,2026,,,,,,,,,,
British Columbia Hockey Conference,British_Columbia_Hockey_Conference.html,,,,,Port Coquitlam Trailblazers,Port Coquitlam,Port Coquitlam Community Centre,2023,2026,,,,,,,,,,
British Columbia Hockey Conference,British_Columbia_Hockey_Conference.html,,,,,Richmond Sockeyes,Richmond,Minoru Arena,1972,2026,,,,,,,,,,
British Columbia Hockey Conference,British_Columbia_Hockey_Conference.html,,,,,Ridge Meadows Flames,Maple Ridge,Planet Ice Maple Ridge/Cam Neely Arena,1972,2026,,,,,,,,,,
