League,Source file,Team,Association,Division,Centre,City/Area,Arena,Founded,0,1,2,3,4,5,6,7,Head coach,Joined,City,Comments,Don Johnson - Jr B,1st Year,Titles,8,9,10,Home
Calgary Junior Hockey League,Calgary_Junior_Hockey_League.html,CBHA Hawks,Calgary Buffaloes Hockey Association,,,,,,,,,,,,,,,,,,,,,,,,
Calgary Junior Hockey League,Calgary_Junior_Hockey_League.html,CBHA Rangers,Calgary Buffaloes Hockey Association,,,,,,,,,,,,,,,,,,,,,,,,
Calgary Junior Hockey League,Calgary_Junior_Hockey_League.html,CNHA Gold,Calgary Northstars Hockey Association,,,,,,,,,,,,,,,,,,,,,,,,
Calgary Junior Hockey League,Calgary_Junior_Hockey_League.html,CNHA Black,Calgary Northstars Hockey Association,,,,,,,,,,,,,,,,,,,,,,,,
Calgary Junior Hockey League,Calgary_Junior_Hockey_League.html,CRAA Gold,Calgary Royals Athletic Association,,,,,,,,,,,,,,,,,,,,,,,,
Calgary Junior Hockey League,Calgary_Junior_Hockey_League.html,CRAA Blue,Calgary Royals Athletic Association,,,,,,,,,,,,,,,,,,,,,,,,
Calgary Junior Hockey League,Calgary_Junior_Hockey_League.html,NWCAA Bruins,Northwest Calgary Athletic Association,,,,,,,,,,,,,,,,,,,,,,,,
Calgary Junior Hockey League,Calgary_Junior_Hockey_League.html,NWCAA Stamps,Northwest Calgary Athletic Association,,,,,,,,,,,,,,,,,,,,,,,,
Capital Junior Hockey League,Capital_Junior_Hockey_League.html,Beaumont Chiefs,,East,Beaumont,,,,,,,,,,,,,,,,,,,,,,
Capital Junior Hockey League,Capital_Junior_Hockey_League.html,Edmonton Royals,,East,Edmonton,,,,,,,,,,,,,,,,,,,,,,
Capital Junior Hockey League,Capital_Junior_Hockey_League.html,Fort Saskatchewan Hawks,,East,Fort Saskatchewan,,,,,,,,,,,,,,,,,,,,,,
Capital Junior Hockey League,Capital_Junior_Hockey_League.html,Leduc Riggers,,East,Leduc,,,,,,,,,,,,,,,,,,,,,,
Capital Junior Hockey League,Capital_Junior_Hockey_League.html,Sherwood Park Knights,,East,Sherwood Park,,,,,,,,,,,,,,,,,,,,,,
Capital Junior Hockey League,Capital_Junior_Hockey_League.html,Strathcona Bruins,,East,Strathcona County,,,,,,,,,,,,,,,,,,,,,,
Capital Junior Hockey League,Capital_Junior_Hockey_League.html,Wetaskiwin Icemen,,East,Wetaskiwin,,,,,,,,,,,,,,,,,,,,,,
