League,Source file,Team,Centre,Home arena,Year Joined,Founded,1st Season,0,1,2,First season,3,4,5,Senior Teams,Formed
Hanover Tache Junior Hockey League,Hanover_Tache_Junior_Hockey_League.html,East St Paul Gators,East St Paul,East St Paul Arena,2023.0,,,,,,,,,,,
Hanover Tache Junior Hockey League,Hanover_Tache_Junior_Hockey_League.html,Grunthal Red Wings,Grunthal,Grunthal Arena,2024.0,,,,,,,,,,,
Hanover Tache Junior Hockey League,Hanover_Tache_Junior_Hockey_League.html,Landmark Blues,Landmark,Landmark Arena,1987.0,,,,,,,,,,,
Hanover Tache Junior Hockey League,Hanover_Tache_Junior_Hockey_League.html,*Lorette Comets,Lorette,Lorette Community Complex/Île-des-Chênes Arena,2004.0,,,,,,,,,,,
Hanover Tache Junior Hockey League,Hanover_Tache_Junior_Hockey_League.html,Macdonald Swarm,Macdonald,Sanford Recreation Centre,2021.0,,,,,,,,,,,
Hanover Tache Junior Hockey League,Hanover_Tache_Junior_Hockey_League.html,Mitchell Mustangs,Mitchell,Mitchell Arena,2024.0,,,,,,,,,,,
Hanover Tache Junior Hockey League,Hanover_Tache_Junior_Hockey_League.html,Niverville Clippers,Niverville,Niverville Arena,2008.0,,,,,,,,,,,
Hanover Tache Junior Hockey League,Hanover_Tache_Junior_Hockey_League.html,Red River Mudbugs,St. Jean Baptiste,St. Jean Arena,2008.0,,,,,,,,,,,
Hanover Tache Junior Hockey League,Hanover_Tache_Junior_Hockey_League.html,Springfield Xtreme,Oakbank,Oakbank ONE Insurance Arena,1988.0,,,,,,,,,,,
Hanover Tache Junior Hockey League,Hanover_Tache_Junior_Hockey_League.html,Ste. Anne Jr. Aces,Ste. Anne,Ste. Anne Arena,1987.0,,,,,,,,,,,
Hanover Tache Junior Hockey League,Hanover_Tache_Junior_Hockey_League.html,Steinbach Huskies,Steinbach,T.G. Smith Centre,2024.0,,,,,,,,,,,
Hanover Tache Junior Hockey League,Hanover_Tache_Junior_Hockey_League.html,Warren 67's,Warren,Access Credit Union Arena,2025.0,,,,,,,,,,,
National Capital Junior Hockey League,National_Capital_Junior_Hockey_League.html,Cumberland Castors,"Orleans, Ontario",,,1987.0,,,,,,,,,,
National Capital Junior Hockey League,National_Capital_Junior_Hockey_League.html,Kanata Kings,"Kanata, Ontario",,,2017.0,,,,,,,,,,
National Capital Junior Hockey League,National_Capital_Junior_Hockey_League.html,Metcalfe Jets,"Metcalfe, Ontario",,,1967.0,,,,,,,,,,
National Capital Junior Hockey League,National_Capital_Junior_Hockey_League.html,Morrisburg Lions,"Morrisburg, Ontario",,,1971.0,,,,,,,,,,
National Capital Junior Hockey League,National_Capital_Junior_Hockey_League.html,North Dundas Rockets,"Chesterville, Ontario",,,2011.0,,,,,,,,,,
National Capital Junior Hockey League,National_Capital_Junior_Hockey_League.html,South Grenville Rangers,"Prescott, Ontario",,,2017.0,,,,,,,,,,
National Capital Junior Hockey League,National_Capital_Junior_Hockey_League.html,St-Isidore Eagles,"St. Isidore de Prescott, Ontario",,,1974.0,,,,,,,,,,
National Capital Junior Hockey League,National_Capital_Junior_Hockey_League.html,Vankleek Hill Cougars,"Vankleek Hill, Ontario",,,1991.0,,,,,,,,,,
National Capital Junior Hockey League,National_Capital_Junior_Hockey_League.html,Westport Rideaus,"Westport, Ontario",,,2022.0,,,,,,,,,,
Noralta Junior Hockey League,Noralta_Junior_Hockey_League.html,St. Albert Comets,St. Albert,,,,1992–93,,,,,,,,,
Noralta Junior Hockey League,Noralta_Junior_Hockey_League.html,SouthWest Zone Oil Kings,Edmonton,,,,1999–00,,,,,,,,,
Noralta Junior Hockey League,Noralta_Junior_Hockey_League.html,Gibbons Broncos,Gibbons,,,,2006–07,,,,,,,,,
Noralta Junior Hockey League,Noralta_Junior_Hockey_League.html,Seera Icemen,Edmonton,,,,2006–07,,,,,,,,,
Noralta Junior Hockey League,Noralta_Junior_Hockey_League.html,Sherwood Park Renegades,Sherwood Park,,,,2006–07,,,,,,,,,
Noralta Junior Hockey League,Noralta_Junior_Hockey_League.html,Edmonton Mavericks,Edmonton,,,,2014–15,,,,,,,,,
Noralta Junior Hockey League,Noralta_Junior_Hockey_League.html,Junior Braves,Edmonton,,,,2018–19,,,,,,,,,
Noralta Junior Hockey League,Noralta_Junior_Hockey_League.html,Strathcona Warriors,Strathcona,,,,2020–21,,,,,,,,,
Noralta Junior Hockey League,Noralta_Junior_Hockey_League.html,Beaumont Buccaneers,Beaumont,,,,2021–22,,,,,,,,,
Noralta Junior Hockey League,Noralta_Junior_Hockey_League.html,Devon Bison,Devon,,,,2022-23,,,,,,,,,
Noralta Junior Hockey League,Noralta_Junior_Hockey_League.html,Millet Lightning,Millet,,,,2022-23,,,,,,,,,
Noralta Junior Hockey League,Noralta_Junior_Hockey_League.html,NorthEast Zone Northstars,Edmonton,,,,2022-23,,,,,,,,,
Noralta Junior Hockey League,Noralta_Junior_Hockey_League.html,CR Knights,Rivière Qui Barre,,,,2023-24,,,,,,,,,
Noralta Junior Hockey League,Noralta_Junior_Hockey_League.html,North Edmonton Wolverines,Edmonton,,,,2025-26,,,,,,,,,
Nova Scotia Junior C Hockey League,Nova_Scotia_Junior_C_Hockey_League.html,,,,,,,Team,Centre,Formed,,,,,,
Nova Scotia Junior C Hockey League,Nova_Scotia_Junior_C_Hockey_League.html,,,,,,,Admirals Hockey Club,Bridgetown,2023,,,,,,
Nova Scotia Junior C Hockey League,Nova_Scotia_Junior_C_Hockey_League.html,,,,,,,East Hants Jr. C Penguins,East Hants,2017,,,,,,
Nova Scotia Junior C Hockey League,Nova_Scotia_Junior_C_Hockey_League.html,,,,,,,Eastern Shore Thunder,Eastern Shore,2016,,,,,,
Nova Scotia Junior C Hockey League,Nova_Scotia_Junior_C_Hockey_League.html,,,,,,,Newport Titans,Newport,2023,,,,,,
Nova Scotia Junior C Hockey League,Nova_Scotia_Junior_C_Hockey_League.html,,,,,,,Sackville Knights,Sackville,2018,,,,,,
Nova Scotia Junior C Hockey League,Nova_Scotia_Junior_C_Hockey_League.html,,,,,,,South Shore Schooners,Chester,2019,,,,,,
Nova Scotia Junior C Hockey League,Nova_Scotia_Junior_C_Hockey_League.html,,,,,,,South West Storm,Barrington,2021,,,,,,
Nova Scotia Junior C Hockey League,Nova_Scotia_Junior_C_Hockey_League.html,,,,,,,Spryfield Attack,Spryfield,2011,,,,,,
Prince Edward Island Junior C Hockey League,Prince_Edward_Island_Junior_C_Hockey_League.html,Morell Lions,Morell,,,,,,,,2024–25,,,,,
Prince Edward Island Junior C Hockey League,Prince_Edward_Island_Junior_C_Hockey_League.html,North River Flames,Cornwall,,,,,,,,2005–06,,,,,
Prince Edward Island Junior C Hockey League,Prince_Edward_Island_Junior_C_Hockey_League.html,Pownal Ice Dogs,Pownal,,,,,,,,2019–20,,,,,
Prince Edward Island Junior C Hockey League,Prince_Edward_Island_Junior_C_Hockey_League.html,Sherwood Metros,Sherwood,,,,,,,,2015–16,,,,,
