League,Source file,0,1,2,3,4,5,6,Conference,Division,Team,City,Arena,Founded,Joined
Ontario Hockey League,Ontario_Hockey_League.html,"Ontario Hockey League Eastern Conference Division Team City Arena East Brantford Bulldogs Brantford, Ontario TD Civic Centre Kingston Frontenacs Kingston, Ontario Slush Puppie Place Oshawa Generals Oshawa, Ontario Tribute Communities Centre Ottawa 67's Ottawa, Ontario TD Place Arena Peterborough Petes Peterborough, Ontario Peterborough Memorial Centre Central Barrie Colts Barrie, Ontario Sadlon Arena Brampton Steelheads Brampton, Ontario CAA Centre Niagara IceDogs St. Catharines, Ontario Meridian Centre North Bay Battalion North Bay, Ontario Boart Longyear Memorial Gardens Sudbury Wolves Greater Sudbury, Ontario Sudbury Community Arena Western Conference Division Team City Arena Midwest Erie Otters Erie, Pennsylvania Erie Insurance Arena Guelph Storm Guelph, Ontario Sleeman Centre Kitchener Rangers Kitchener, Ontario Kitchener Memorial Auditorium Complex London Knights London, Ontario Canada Life Place Owen Sound Attack Owen Sound, Ontario Harry Lumley Bayshore Community Centre West Flint Firebirds Flint, Michigan Dort Federal Credit Union Event Center Saginaw Spirit Saginaw, Michigan Dow Event Center Sarnia Sting Sarnia, Ontario Progressive Auto Sales Arena Sault Ste. Marie Greyhounds Sault Ste. Marie, Ontario GFL Memorial Gardens Windsor Spitfires Windsor, Ontario WFCU Centre",100km 62milesWindsorSault Ste. MarieSarniaSaginawFlintOwen SoundLondonKitchenerGuelphErieSudburyNorth BayNiagaraBramptonBarriePeterboroughOttawaOshawaKingstonBrantford Team locations as of the 2025-26 season.  East Division Central Division Midwest Division West Division,,,,,,,,,,,,
Ontario Hockey League,Ontario_Hockey_League.html,Ontario Hockey League,Ontario Hockey League,Ontario Hockey League,Ontario Hockey League,Ontario Hockey League,Ontario Hockey League,Ontario Hockey League,,,,,,,
Ontario Hockey League,Ontario_Hockey_League.html,Eastern Conference,Eastern Conference,Eastern Conference,Eastern Conference,Eastern Conference,Eastern Conference,Eastern Conference,,,,,,,
Ontario Hockey League,Ontario_Hockey_League.html,Division,Team,City,Arena,,,,,,,,,,
Ontario Hockey League,Ontario_Hockey_League.html,East,Brantford Bulldogs,"Brantford, Ontario",TD Civic Centre,,,,,,,,,,
Ontario Hockey League,Ontario_Hockey_League.html,East,Kingston Frontenacs,"Kingston, Ontario",Slush Puppie Place,,,,,,,,,,
Ontario Hockey League,Ontario_Hockey_League.html,East,Oshawa Generals,"Oshawa, Ontario",Tribute Communities Centre,,,,,,,,,,
Ontario Hockey League,Ontario_Hockey_League.html,East,Ottawa 67's,"Ottawa, Ontario",TD Place Arena,,,,,,,,,,
Ontario Hockey League,Ontario_Hockey_League.html,East,Peterborough Petes,"Peterborough, Ontario",Peterborough Memorial Centre,,,,,,,,,,
Ontario Hockey League,Ontario_Hockey_League.html,Central,Barrie Colts,"Barrie, Ontario",Sadlon Arena,,,,,,,,,,
Ontario Hockey League,Ontario_Hockey_League.html,Central,Brampton Steelheads,"Brampton, Ontario",CAA Centre,,,,,,,,,,
Ontario Hockey League,Ontario_Hockey_League.html,Central,Niagara IceDogs,"St. Catharines, Ontario",Meridian Centre,,,,,,,,,,
Ontario Hockey League,Ontario_Hockey_League.html,Central,North Bay Battalion,"North Bay, Ontario",Boart Longyear Memorial Gardens,,,,,,,,,,
Ontario Hockey League,Ontario_Hockey_League.html,Central,Sudbury Wolves,"Greater Sudbury, Ontario",Sudbury Community Arena,,,,,,,,,,
Ontario Hockey League,Ontario_Hockey_League.html,Western Conference,Western Conference,Western Conference,Western Conference,Western Conference,Western Conference,Western Conference,,,,,,,
Ontario Hockey League,Ontario_Hockey_League.html,Division,Team,City,Arena,,,,,,,,,,
Ontario Hockey League,Ontario_Hockey_League.html,Midwest,Erie Otters,"Erie, Pennsylvania",Erie Insurance Arena,,,,,,,,,,
Ontario Hockey League,Ontario_Hockey_League.html,Midwest,Guelph Storm,"Guelph, Ontario",Sleeman Centre,,,,,,,,,,
