League,Source file,0,1,2,3,4
United States Hockey League,United_States_Hockey_League.html,Eastern Conference,Eastern Conference,Eastern Conference,Eastern Conference,Eastern Conference
United States Hockey League,United_States_Hockey_League.html,Team,Founded,Arena,Capacity,City
United States Hockey League,United_States_Hockey_League.html,Cedar Rapids RoughRiders,1998,ImOn Ice Arena,4000,"Cedar Rapids, Iowa"
United States Hockey League,United_States_Hockey_League.html,Chicago Steel,2000,Fox Valley Ice Arena,2800,"Geneva, Illinois"
United States Hockey League,United_States_Hockey_League.html,Dubuque Fighting Saints,2010,Mystique Ice Center,3079,"Dubuque, Iowa"
United States Hockey League,United_States_Hockey_League.html,Green Bay Gamblers,1994,Resch Center,8709,"Ashwaubenon, Wisconsin"
United States Hockey League,United_States_Hockey_League.html,Madison Capitols,2014,Bob Suter's Legacy20 Arena,2611,"Middleton, Wisconsin"
United States Hockey League,United_States_Hockey_League.html,Muskegon Lumberjacks,2010,Trinity Health Arena,5100,"Muskegon, Michigan"
United States Hockey League,United_States_Hockey_League.html,USA Hockey National Team Development Program,1996,USA Hockey Arena,3504,"Plymouth, Michigan"
United States Hockey League,United_States_Hockey_League.html,Youngstown Phantoms,2003,Covelli Centre,5717,"Youngstown, Ohio"
United States Hockey League,United_States_Hockey_League.html,Western Conference,Western Conference,Western Conference,Western Conference,Western Conference
United States Hockey League,United_States_Hockey_League.html,Team,Founded,Arena,Capacity,City
United States Hockey League,United_States_Hockey_League.html,Des Moines Buccaneers,1980,Mid American Energy Company RecPlex,2000,"West Des Moines, Iowa"
United States Hockey League,United_States_Hockey_League.html,Fargo Force,2008,Scheels Arena,4000,"Fargo, North Dakota"
United States Hockey League,United_States_Hockey_League.html,Lincoln Stars,1996,Ice Box,4212,"Lincoln, Nebraska"
United States Hockey League,United_States_Hockey_League.html,Omaha Lancers,1986,Liberty First Credit Union Arena,4000,"Ralston, Nebraska"
United States Hockey League,United_States_Hockey_League.html,Sioux City Musketeers,1972,Fleet Farm Arena,"9,500[a]","Sioux City, Iowa"
United States Hockey League,United_States_Hockey_League.html,Sioux Falls Stampede,1999,Denny Sanford Premier Center,10678,"Sioux Falls, South Dakota"
United States Hockey League,United_States_Hockey_League.html,Tri-City Storm,2000,Viaero Center,4047,"Kearney, Nebraska"
United States Hockey League,United_States_Hockey_League.html,Waterloo Black Hawks,1962,Young Arena,3500,"Waterloo, Iowa"
