League,Source file,Division,Team,Location,Arena,Founded,Joined
North American Hockey League,North_American_Hockey_League.html,Central,Aberdeen Wings,"Aberdeen, South Dakota",Odde Ice Center,2010,2010
North American Hockey League,North_American_Hockey_League.html,Central,Austin Bruins,"Austin, Minnesota",Riverside Arena,2010,2010
North American Hockey League,North_American_Hockey_League.html,Central,Bismarck Bobcats,"Bismarck, North Dakota",V.F.W. Sports Center,1997,2003
North American Hockey League,North_American_Hockey_League.html,Central,Minnesota Mallards,"Forest Lake, Minnesota",Forest Lake Sports Center,2024,2024
North American Hockey League,North_American_Hockey_League.html,Central,Minot Minotauros,"Minot, North Dakota",Maysa Arena,2011,2011
North American Hockey League,North_American_Hockey_League.html,Central,St. Cloud Norsemen,"St. Cloud, Minnesota",St. Cloud Municipal Athletic Complex,2003*,2003*
North American Hockey League,North_American_Hockey_League.html,Central,Watertown Shamrocks,"Watertown, South Dakota",Prairie Lakes Ice Arena,2024,2024
North American Hockey League,North_American_Hockey_League.html,East,Danbury Jr. Hat Tricks,"Danbury, Connecticut",Danbury Ice Arena,2010*,2010*
North American Hockey League,North_American_Hockey_League.html,East,Elmira Aviators,"Elmira, New York",First Arena,2024,2024
North American Hockey League,North_American_Hockey_League.html,East,Johnstown Tomahawks,"Johnstown, Pennsylvania",Cambria County War Memorial Arena,1990*,1990*
North American Hockey League,North_American_Hockey_League.html,East,Maryland Black Bears,"Odenton, Maryland",Piney Orchard Ice Arena,2018,2018
North American Hockey League,North_American_Hockey_League.html,East,New Hampshire Mountain Kings,"Hooksett, New Hampshire",Tri-Town Ice Arena,2023,2023
North American Hockey League,North_American_Hockey_League.html,East,New Jersey Titans,"Middletown Township, New Jersey",Middletown Ice World Arena,2005*,2005*
North American Hockey League,North_American_Hockey_League.html,East,Northeast Generals,"Canton, Massachusetts",Canton Ice House,2016,2016
North American Hockey League,North_American_Hockey_League.html,East,Philadelphia Rebels,"Washington Township, New Jersey",Hollydell Ice Arena,2008*,2008*
North American Hockey League,North_American_Hockey_League.html,Midwest,Anchorage Wolverines,"Anchorage, Alaska",Sullivan Arena,2021,2021
North American Hockey League,North_American_Hockey_League.html,Midwest,Fairbanks Ice Dogs,"Fairbanks, Alaska",Big Dipper Ice Arena,1997,2003
North American Hockey League,North_American_Hockey_League.html,Midwest,Janesville Jets,"Janesville, Wisconsin",Janesville Ice Arena,2009,2009
North American Hockey League,North_American_Hockey_League.html,Midwest,Kenai River Brown Bears,"Soldotna, Alaska",Soldotna Regional Sports Complex,2007,2007
North American Hockey League,North_American_Hockey_League.html,Midwest,Minnesota Wilderness,"Cloquet, Minnesota",Northwoods Credit Union Arena,2000,2013
North American Hockey League,North_American_Hockey_League.html,Midwest,Springfield Jr. Blues,"Springfield, Illinois",Nelson Center,1993,1993
North American Hockey League,North_American_Hockey_League.html,Midwest,Wisconsin Windigo,"Brookfield, Wisconsin",The Ponds of Brookfield,2010*,2010*
North American Hockey League,North_American_Hockey_League.html,South,Amarillo Wranglers,"Amarillo, Texas",Amarillo Civic Center,2003*,2003*
North American Hockey League,North_American_Hockey_League.html,South,Corpus Christi IceRays,"Corpus Christi, Texas",Hilliard Center,2001*,2001*
North American Hockey League,North_American_Hockey_League.html,South,El Paso Rhinos,"El Paso, Texas",El Paso County Events Center,2006,2021
North American Hockey League,North_American_Hockey_League.html,South,Houston Bulls,"Richmond, Texas",Deep South Ice & Sports Center,2008*,2008*
North American Hockey League,North_American_Hockey_League.html,South,Lone Star Brahmas,"North Richland Hills, Texas",NYTEX Sports Centre,1999*,1999*
North American Hockey League,North_American_Hockey_League.html,South,New Mexico Ice Wolves,"Albuquerque, New Mexico",Outpost Ice Arenas,2019,2019
North American Hockey League,North_American_Hockey_League.html,South,Odessa Jackalopes,"Odessa, Texas",Ector County Coliseum,2008*,2008*
North American Hockey League,North_American_Hockey_League.html,South,Oklahoma Warriors,"Oklahoma City, Oklahoma",Blazers Ice Center,2020*,2020*
North American Hockey League,North_American_Hockey_League.html,South,Shreveport Mudbugs,"Shreveport, Louisiana",Hirsch Memorial Coliseum,2016,2016
North American Hockey League,North_American_Hockey_League.html,Mountain,,,,,
North American Hockey League,North_American_Hockey_League.html,Mountain,Billings Cattle Punchers,"Billings, Montana",Signal Peak Energy Arena,2026,2026
North American Hockey League,North_American_Hockey_League.html,Mountain,Grand Junction River Hawks,"Grand Junction, Colorado",River City Sportsplex,2025,2026
North American Hockey League,North_American_Hockey_League.html,Mountain,Idaho Falls Spud Kings,"Idaho Falls, Idaho",Mountain America Center,2022,2026
North American Hockey League,North_American_Hockey_League.html,Mountain,Ogden Mustangs,"Ogden, Utah",The Ice Sheet at Ogden,2009,2026
North American Hockey League,North_American_Hockey_League.html,Mountain,Pueblo,"Pueblo, Colorado",Pueblo Ice Arena,2005*,2005*
