Tournament,1992 Aki basho results - Makuuchi Division
Name,Rank,Record
Kirishima,O,7-8-0
Konishiki,O,9-6-0
Akebono,HD,9-6-0
Akinoshima,S,8-7-0
Musashimaru,S,10-5-0
Mitoizumi,HD,8-7-0
Misugisato,K,5-10-0
Takahanada,K,14-1-0*
Kyokudozan,HD,8-7-0
Kotonishiki,M1,11-4-0
Toyonoumi,M1,5-10-0
Takatoriki,M2,10-5-0
Daishoyama,M2,5-10-0
Kotofuji,M3,4-11-0
Oginohana,M3,5-7-3
Kotonowaka,M4,7-8-0
Kiraiho,M4,4-11-0
Kirinishiki,M5,4-11-0
Takanonami,M5,6-9-0
Mainoumi,M6,7-8-0
Kushimaumi,M6,8-7-0
Takamisugi,M7,9-6-0
Tokitsunada,M7,6-9-0
Terao,M8,9-6-0
Daishoho,M8,11-4-0
Wakahanada,M9,8-7-0
Kitakachidoki,M9,8-7-0
Kototsubaki,M10,5-10-0
Kotogaume,M10,6-9-0
Tochinowaka,M11,9-6-0
Ryogoku,M11,2-13-0
Wakanoyama,M12,6-9-0
Tatsuhikari,M12,8-7-0
Tomoefuji,M13,9-6-0
Wakashoyo,M13,10-5-0
Tamakairiki,M14,9-6-0
Daizen,M14,10-5-0
Naminohana,M15,6-9-0
Kotoinazuma,M15,8-7-0
Asahisato,M16,6-9-0
