Tournament,1996 Aki basho results - Makuuchi Division
Name,Rank,Record
Takanohana,Y,0-0-15
Akebono,Y,11-4-0
Wakanohana,O,11-4-0
Musashimaru,O,11-4-0*
Takanonami,O,11-4-0
Takatoriki,S,6-9-0
Kaio,S,11-4-0
Kotonishiki,S,8-7-0
Asahiyutaka,K,5-10-0
Musoyama,K,8-7-0
Daishoho,M1,1-14-0
Tosanoumi,M1,8-7-0
Akinoshima,M2,9-6-0
Mitoizumi,M2,4-11-0
Terao,M3,4-11-0
Kotonowaka,M3,5-10-0
Oginishiki,M4,6-9-0
Asanosho,M4,5-10-0
Tamakasuga,M5,9-6-0
Hamanoshima,M5,5-10-0
Kenko,M6,8-7-0
Kotoinazuma,M6,5-10-0
Ganyu,M7,6-9-0
Kyokushuzan,M7,8-7-0
Tochinowaka,M8,8-7-0
Kotoryu,M8,7-8-0
Konishiki,M9,6-9-0
Kitakachidoki,M9,8-7-0
Aogiyama,M10,8-7-0
Higonoumi,M10,9-6-0
Asanowaka,M11,9-6-0
Shikishima,M11,7-8-0
Kotobeppu,M12,7-8-0
Minatofuji,M12,9-6-0
Daihisho,M13,9-6-0
Daishi,M13,9-6-0
Naminohana,M14,5-10-0
Kyokudozan,M14,0-0-0
Rikio,M15,8-7-0
Tochiazuma,M15,10-5-0
