Tournament,1996 Natsu basho results - Makuuchi Division
Name,Rank,Record
Takanohana,Y,13-2-0*
Akebono,Y,12-3-0
Wakanohana,O,10-5-0
Takanonami,O,12-3-0
Musashimaru,O,10-5-0
Kaio,S,10-5-0
Musoyama,S,7-8-0
Asahiyutaka,K,7-8-0
Takatoriki,K,10-5-0
Daishoho,K,2-13-0
Tamakasuga,M1,6-9-0
Aogiyama,M1,3-12-0
Kotonowaka,M2,9-6-0
Kotonishiki,M2,9-6-0
Daishi,M3,4-11-0
Mitoizumi,M3,4-11-0
Naminohana,M4,3-12-0
Minatofuji,M4,5-10-0
Tosanoumi,M5,6-9-0
Akinoshima,M5,10-5-0
Misugisato,M6,4-11-0
Terao,M6,5-10-0
Kotoinazuma,M7,8-7-0
Asanosho,M7,6-9-0
Kenko,M8,9-6-0
Konishiki,M8,8-7-0
Kitakachidoki,M9,8-7-0
Asanowaka,M9,8-7-0
Kotobeppu,M10,9-6-0
Tochinowaka,M10,7-8-0
Shikishima,M11,6-9-0
Mainoumi,M11,2-1-12
Kyokudozan,M12,8-7-0
Oginishiki,M12,8-7-0
Ganyu,M13,8-7-0
Hamanoshima,M13,8-7-0
Higonoumi,M14,9-6-0
Rikio,M14,9-6-0
Kotoryu,M15,8-7-0
Kushimaumi,M15,6-9-0
