Tournament,2004 Nagoya basho results - Makuuchi Division
Name,Rank,Record
Asashoryu,Y,13-2-0*
Kaio,O,11-4-0
Chiyotaikai,O,10-5-0
Musoyama,O,8-7-0
Wakanosato,S,8-7-0
Hokutoriki,S,3-12-0
Tochiazuma,S,10-5-0
Kotomitsuki,K,7-8-0
Tamanoshima,K,6-9-0
Kyokutenho,M1,8-7-0
Iwakiyama,M1,7-8-0
Kokkai,M2,8-7-0
Kotonowaka,M2,3-12-0
Kotoryu,M3,4-11-0
Kyokushuzan,M3,3-12-0
Shimotori,M4,9-6-0
Dejima,M4,7-8-0
Takekaze,M5,6-9-0
Kakizoe,M5,7-8-0
Tokitsuumi,M6,6-9-0
Tochinonada,M6,9-6-0
Miyabiyama,M7,12-3-0
Takamisakari,M7,8-7-0
Hakuho,M8,11-4-0
Kaiho,M8,7-8-0
Aminishiki,M9,4-11-0
Tochisakae,M9,6-9-0
Hayateumi,M10,7-8-0
Asasekiryu,M10,11-4-0
Tosanoumi,M11,11-4-0
Jumonji,M11,8-7-0
Buyuzan,M12,8-7-0
Kinkaiyama,M12,4-11-0
Kasugao,M13,4-8-3
Takanowaka,M13,8-7-0
Toyozakura,M14,12-3-0
Otsukasa,M14,8-7-0
Wakatoba,M15,3-12-0
Futen'o,M15,10-5-0
Harunoyama,M16,3-12-0
Toki,M16,6-9-0
Tokitenku,M17,6-9-0
