Tournament,2009 Hatsu basho results - Makuuchi Division
Name,Rank,Record
Hakuho,Y,14-1-0
Asashoryu,Y,14-1-0*
Kotomitsuki,O,2-10-3
Chiyotaikai,O,8-7-0
Kotooshu,O,10-5-0
Kaio,O,8-7-0
Harumafuji,O,8-7-0
Baruto,S,9-6-0
Aminishiki,S,3-6-6
Kisenosato,K,8-7-0
Toyonoshima,K,2-6-7
Kotoshogiku,M1,6-9-0
Kyokutenho,M1,9-6-0
Miyabiyama,M2,7-8-0
Yoshikaze,M2,6-9-0
Takekaze,M3,7-8-0
Goeido,M3,10-5-0
Wakanosato,M4,7-8-0
Kokkai,M4,5-10-0
Futen'o,M5,5-10-0
Takamisakari,M5,6-9-0
Bushuyama,M6,2-13-0
Aran,M6,5-10-0
Hokutoriki,M7,9-6-0
Dejima,M7,7-8-0
Asasekiryu,M8,6-9-0
Kakuryu,M8,9-6-0
Tosanoumi,M9,5-10-0
Chiyohakuho,M9,6-9-0
Tokitenku,M10,9-6-0
Tochinonada,M10,8-7-0
Iwakiyama,M11,8-7-0
Tochinoshin,M11,8-7-0
Tochiozan,M12,10-5-0
Kakizoe,M12,8-7-0
Tamawashi,M13,7-8-0
Koryu,M13,5-10-0
Toyohibiki,M14,5-10-0
Masatsukasa,M14,4-11-0
Tamanoshima,M15,11-4-0
Yamamotoyama,M15,8-7-0
Homasho,M16,11-4-0
