Tournament,2013 Kyushu basho results - Makuuchi Division
Name,Rank,Record
Hakuho,Y,13-2-0
Harumafuji,Y,14-1-0*
Kisenosato,O,13-2-0
Kotoshogiku,O,1-2-12
Kakuryu,O,9-6-0
Kotooshu,O,1-3-11
Goeido,S,8-7-0
Tochiozan,S,7-8-0
Shohozan,K,4-11-0
Okinoumi,K,7-8-0
Myogiryu,M1,8-7-0
Aminishiki,M1,6-9-0
Kyokutenho,M2,5-10-0
Toyonoshima,M2,8-7-0
Takayasu,M3,3-12-0
Takekaze,M3,7-8-0
Homasho,M4,5-10-0
Tochinowaka,M4,4-11-0
Aoiyama,M5,10-5-0
Kaisei,M5,7-8-0
Chiyotairyu,M6,11-4-0
Ikioi,M6,11-4-0
Toyohibiki,M7,9-6-0
Endo,M7,6-9-0
Takarafuji,M8,8-7-0
Tenkaiho,M8,2-13-0
Sadanofuji,M9,7-8-0
Kitataiki,M9,8-7-0
Tokitenku,M10,6-9-0
Kotoyuki,M10,4-3-8
Masunoyama,M11,6-5-4
Tamawashi,M11,10-5-0
Jokoryu,M12,3-12-0
Fujiazuma,M12,8-7-0
Yoshikaze,M13,8-7-0
Gagamaru,M13,8-7-0
Kyokushuho,M14,8-7-0
Tokushoryu,M14,7-8-0
Shotenro,M15,9-6-0
Osunaarashi,M15,7-8-0
Aran,M16,0-0-0
Tamaasuka,M16,4-11-0
