Tournament,2014 Haru basho results - Makuuchi Division
Name,Rank,Record
Hakuho,Y,12-3-0
Harumafuji,Y,12-3-0
Kakuryu,O,14-1-0*
Kotoshogiku,O,8-7-0
Kisenosato,O,9-6-0
Goeido,S,12-3-0
Kotooshu,S,1-10-4
Tochiozan,S,9-6-0
Toyonoshima,K,5-10-0
Shohozan,K,5-10-0
Endo,M1,6-9-0
Tamawashi,M1,5-10-0
Okinoumi,M2,4-11-0
Tochinowaka,M2,4-11-0
Kaisei,M3,6-9-0
Takayasu,M3,5-10-0
Yoshikaze,M4,10-5-0
Ikioi,M4,7-8-0
Chiyootori,M5,9-6-0
Aoiyama,M5,9-6-0
Aminishiki,M6,8-7-0
Takekaze,M6,9-6-0
Toyohibiki,M7,6-9-0
Chiyotairyu,M7,9-6-0
Takarafuji,M8,9-6-0
Kyokutenho,M8,9-6-0
Kitataiki,M9,6-9-0
Gagamaru,M9,6-9-0
Myogiryu,M10,8-7-0
Terunofuji,M10,8-7-0
Osunaarashi,M11,8-7-0
Tokushoryu,M11,9-6-0
Chiyomaru,M12,8-7-0
Sadanofuji,M12,2-13-0
Fujiazuma,M13,0-0-15
Jokoryu,M13,8-7-0
Azumaryu,M14,6-9-0
Masunoyama,M14,8-7-0
Tenkaiho,M15,3-8-4
Takanoiwa,M15,10-5-0
Kagamio,M16,5-10-0
Satoyama,M16,5-10-0
