Tournament,2017 Nagoya basho results - Makuuchi Division
Name,Rank,Record
Harumafuji,Y,0-3-12
Hakuho,Y,14-1-0*
Kisenosato,Y,4-6-5
Kakuryu,Y,0-0-15
Goeido,O,9-6-0
Takayasu,O,8-5-2
Mitakeumi,S,9-6-0
Yoshikaze,S,6-9-0
Terunofuji,S,0-5-10
Kotoshogiku,K,6-9-0
Onosho,K,8-7-0
Tamawashi,M1,11-4-0
Takakeisho,M1,11-4-0
Chiyotairyu,M2,7-8-0
Tochiozan,M2,4-11-0
Shohozan,M3,3-12-0
Hokutofuji,M3,11-4-0
Chiyonokuni,M4,6-9-0
Ichinojo,M4,10-5-0
Takarafuji,M5,7-8-0
Arawashi,M5,8-7-0
Chiyoshoma,M6,7-8-0
Tochinoshin,M6,9-6-0
Daishomaru,M7,4-11-0
Shodai,M7,9-6-0
Takanoiwa,M8,0-0-15
Chiyomaru,M8,7-8-0
Endo,M9,9-6-0
Daieisho,M9,5-10-0
Kaisei,M10,8-7-0
Ikioi,M10,9-6-0
Aoiyama,M11,3-8-4
Asanoyama,M11,5-10-0
Okinoumi,M12,11-4-0
Kagayaki,M12,7-8-0
Takekaze,M13,7-8-0
Aminishiki,M13,8-7-0
Kotoyuki,M14,8-7-0
Daiamami,M14,6-9-0
Nishikigi,M15,7-8-0
Myogiryu,M15,6-8-1
Ura,M16,0-0-15
