Name,Rank,Record
Takakeisho,O,8-7-0
Kiribayama,S,11-4-0
Hoshoryu,S,11-4-0
Daieisho,S,10-5-0
Wakamotoharu,S,10-5-0
Kotonowaka,K,8-7-0
Wakatakakage,K,0-0-15
Shodai,K,6-9-0
Abi,M1,8-7-0
Midorifuji,M1,6-9-0
Takayasu,M2,3-3-9
Endo,M2,0-7-8
Tobizaru,M3,8-7-0
Nishikifuji,M3,3-12-0
Ura,M4,7-8-0
Nishikigi,M4,9-6-0
Kinbozan,M5,4-11-0
Kotoshoho,M5,2-10-3
Meisei,M6,8-7-0
Mitakeumi,M6,9-6-0
Hokutofuji,M7,6-9-0
Tamawashi,M7,7-8-0
Sadanoumi,M8,7-8-0
Takanosho,M8,7-8-0
Onosho,M9,8-7-0
Hiradoumi,M9,9-6-0
Ryuden,M10,5-10-0
Takarafuji,M10,5-10-0
Hokuseiho,M11,8-7-0
Daishoho,M11,6-9-0
Aoiyama,M12,5-10-0
Kotoeko,M12,8-7-0
Chiyoshoma,M13,8-7-0
Ichinojo,M13,0-0-0
Asanoyama,M14,12-3-0
Myogiryu,M14,9-6-0
Ichiyamamoto,M15,4-11-0
Tsurugisho,M15,9-6-0
Mitoryu,M16,5-10-0
Oho,M16,11-4-0
Kagayaki,M17,7-8-0
