Tournament,2025 Haru basho results – Makuuchi Division
Name,Rank,Record
Hoshoryu,Y,5-5-5
Onosato,O,12-3-0*
Kotozakura,O,8-7-0
Daieisho,S,9-6-0
Oho,S,6-9-0
Kirishima,K,8-7-0
Abi,K,6-9-0
Wakatakakage,M1,9-6-0
Wakamotoharu,M1,9-6-0
Gonoyama,M2,7-8-0
Chiyoshoma,M2,6-9-0
Tobizaru,M3,6-9-0
Takanosho,M3,3-12-0
Takayasu,M4,12-3-0
Ichiyamamoto,M4,7-8-0
Ura,M5,7-8-0
Kinbozan,M5,6-9-0
Hiradoumi,M6,9-6-0
Takerufuji,M6,9-6-0
Shodai,M7,6-9-0
Tamawashi,M7,10-5-0
Atamifuji,M8,6-9-0
Oshoma,M8,9-6-0
Hakuoho,M9,9-6-0
Endo,M9,7-8-0
Nishikigi,M10,3-12-0
Shonannoumi,M10,4-11-0
Midorifuji,M11,9-6-0
Meisei,M11,9-6-0
Takarafuji,M12,3-12-0
Onokatsu,M12,10-5-0
Nishikifuji,M13,0-2-13
Shishi,M13,9-6-0
Ryuden,M14,6-9-0
Churanoumi,M14,11-4-0
Aonishiki,M15,11-4-0
Sadanoumi,M15,8-7-0
Asakoryu,M16,6-9-0
Kotoshoho,M16,8-7-0
Mitakeumi,M17,6-9-0
Shirokuma,M17,5-10-0
Tokihayate,M18,10-5-0
