Tournament,2025 Hatsu basho results – Makuuchi Division
Name,Rank,Record
Terunofuji,Y,2-3-0
Kotozakura,O,5-10-0
Hoshoryu,O,12-3-0*
Onosato,O,10-5-0
Wakamotoharu,S,6-9-0
Daieisho,S,11-4-0
Abi,K,7-8-0
Wakatakakage,K,7-8-0
Takanosho,M1,6-9-0
Kirishima,M1,11-4-0
Tobizaru,M2,7-8-0
Atamifuji,M2,5-10-0
Gonoyama,M3,8-7-0
Oho,M3,12-3-0
Shodai,M4,6-9-0
Ura,M4,7-8-0
Hiradoumi,M5,7-8-0
Chiyoshoma,M5,9-6-0
Takayasu,M6,8-7-0
Ichiyamamoto,M6,8-7-0
Endo,M7,6-9-0
Mitakeumi,M7,2-13-0
Roga,M8,0-3-12
Takarafuji,M8,5-10-0
Churanoumi,M9,4-11-0
Oshoma,M9,8-7-0
Tamawashi,M10,9-6-0
Meisei,M10,6-9-0
Midorifuji,M11,7-8-0
Takerufuji,M11,10-5-0
Nishikigi,M12,8-7-0
Onokatsu,M12,7-8-0
Shonannoumi,M13,8-7-0
Kotoshoho,M13,5-10-0
Hokutofuji,M14,0-0-15
Kinbozan,M14,12-3-0
Hakuoho,M15,10-5-0
Kitanowaka,M15,4-5-6
Tamashoho,M16,6-9-0
Kagayaki,M16,6-9-0
Nishikifuji,M17,9-6-0
Tokihayate,M17,7-8-0
