Tournament,2025 Nagoya basho results – Makuuchi Division
Name,Rank,Record
Hoshoryu,Y,1-4-10
Onosato,Y,11-4-0
Kotozakura,O,8-7-0
Daieisho,S,0-0-15
Kirishima,S,8-7-0
Wakatakakage,S,10-5-0
Oshoma,K,3-12-0
Takayasu,K,10-5-0
Aonishiki,M1,11-4-0
Wakamotoharu,M1,6-9-0
Oho,M2,7-8-0
Abi,M2,9-6-0
Onokatsu,M3,6-9-0
Kinbozan,M3,4-11-0
Hakuoho,M4,8-7-0
Tamawashi,M4,11-4-0
Hiradoumi,M5,8-7-0
Meisei,M5,3-12-0
Takerufuji,M6,5-8-2
Gonoyama,M6,9-6-0
Tobizaru,M7,3-10-2
Endo,M7,0-0-15
Sadanoumi,M8,4-11-0
Ichiyamamoto,M8,9-6-0
Ura,M9,8-6-1
Chiyoshoma,M9,1-14-0
Atamifuji,M10,11-4-0
Roga,M10,7-8-0
Takanosho,M11,9-6-0
Tokihayate,M11,6-9-0
Midorifuji,M12,9-6-0
Asakoryu,M12,6-9-0
Churanoumi,M13,9-6-0
Shodai,M13,9-6-0
Kusano,M14,11-4-0
Fujinokawa,M14,10-5-0
Kotoshoho,M15,13-2-0*
Hidenoumi,M15,2-11-2
Kayo,M16,4-11-0
Mitakeumi,M16,10-5-0
Kotoeiho,M17,6-9-0
Shishi,M17,7-8-0
