Tournament,2025 Natsu basho results – Makuuchi Division
Name,Rank,Record
Hoshoryu,Y,12-3-0
Onosato,O,14-1-0*
Kotozakura,O,8-7-0
Daieisho,S,10-5-0
Kirishima,S,11-4-0
Takayasu,K,6-9-0
Wakatakakage,K,12-3-0
Wakamotoharu,M1,7-8-0
Oho,M1,7-8-0
Abi,M2,7-8-0
Gonoyama,M2,4-11-0
Tamawashi,M3,6-9-0
Hiradoumi,M3,6-9-0
Takerufuji,M4,6-9-0
Ichiyamamoto,M4,5-10-0
Ura,M5,5-10-0
Chiyoshoma,M5,4-11-0
Oshoma,M6,10-5-0
Tobizaru,M6,7-8-0
Hakuoho,M7,8-7-0
Churanoumi,M7,4-11-0
Onokatsu,M8,10-5-0
Kinbozan,M8,10-5-0
Aonishiki,M9,11-4-0
Midorifuji,M9,6-9-0
Meisei,M10,9-6-0
Shodai,M10,6-9-0
Endo,M11,9-6-0
Shishi,M11,4-11-0
Atamifuji,M12,8-7-0
Takanosho,M12,8-7-0
Tokihayate,M13,8-7-0
Sadanoumi,M13,10-5-0
Kotoshoho,M14,6-4-5
Roga,M14,9-6-0
Ryuden,M15,5-10-0
Shonannoumi,M15,5-10-0
Kayo,M16,7-8-0
Nishikigi,M16,6-9-0
Tamashoho,M17,4-11-0
Asakoryu,M17,10-5-0
Tochitaikai,M18,4-11-0
