Tournament,2026 Natsu basho results - Makuuchi Division
Name,Rank,Record
Hoshoryu,Y,0-2-13
Onosato,Y,0-0-15
Kotozakura,O,3-9-3
Aonishiki,O,0-0-15
Kirishima,O,12-3-0
Atamifuji,S,9-6-0
Kotoshoho,S,9-6-0
Wakatakakage,K,12-3-0*
Takayasu,K,2-2-11
Fujinokawa,M1,7-8-0
Takanosho,M1,7-8-0
Yoshinofuji,M2,11-4-0
Ichiyamamoto,M2,6-9-0
Hiradoumi,M3,7-8-0
Oho,M3,9-6-0
Daieisho,M4,7-8-0
Gonoyama,M4,8-7-0
Wakamotoharu,M5,5-10-0
Shodai,M5,6-9-0
Churanoumi,M6,9-6-0
Fujiseiun [ja],M6,7-8-0
Chiyoshoma,M7,5-10-0
Asakoryu,M7,3-4-8
Oshoma,M8,8-7-0
Asahakuryu,M8,5-10-0
Abi,M9,5-10-0
Nishikifuji,M9,5-10-0
Asanoyama,M10,7-5-3
Hakunofuji,M10,11-4-0
Ura,M11,10-5-0
Kinbozan,M11,6-9-0
Shishi,M12,6-9-0
Tokihayate,M12,4-11-0
Kotoeiho,M13,10-5-0
Tamawashi,M13,2-13-0
Mitakeumi,M14,8-7-0
Roga,M14,9-6-0
Tobizaru,M15,9-6-0
Oshoumi,M15,4-11-0
Wakanosho [ja],M16,9-6-0
Ryuden,M16,5-10-0
Fujiryoga [ja],M17,10-5-0
