Name,2025 Hatsu Rank,2025 Hatsu Record,2025 Haru Rank,2025 Haru Record,2025 Natsu Rank,2025 Natsu Record,2025 Nagoya Rank,2025 Nagoya Record,2025 Aki Rank,2025 Aki Record,2025 Kyushu Rank,2025 Kyushu Record
Abi,K,7-8-0,K,6-9-0,M2,7-8-0,M2,9-6-0,M1,3-12-0,M7,5-10-0
Aonishiki,,,M15,11-4-0,M9,11-4-0,M1,11-4-0,K,11-4-0,S,12-3-0*
Asakoryu,,,M16,6-9-0,M17,10-5-0,M12,6-9-0,M14,6-9-0,M17,8-7-0
Atamifuji,M2,5-10-0,M8,6-9-0,M12,8-7-0,M10,11-4-0,M3,5-10-0,M6,8-7-0
Chiyoshoma,M5,9-6-0,M2,6-9-0,M5,4-11-0,M9,1-14-0,,,M17,10-5-0
Churanoumi,M9,4-11-0,M14,11-4-0,M7,4-11-0,M13,9-6-0,M10,9-6-0,M7,8-7-0
Daieisho,S,11-4-0,S,9-6-0,S,10-5-0,S,0-0-15,M10,7-8-0,M10,10-5-0
Endo,M7,6-9-0,M9,7-8-0,M11,9-6-0,M7,0-0-15,,,,
Fujinokawa,,,,,,,M14,10-5-0,M9,6-9-0,M12,9-6-0
Gonoyama,M3,8-7-0,M2,7-8-0,M2,4-11-0,M6,9-6-0,M3,1-14-0,M13,9-6-0
Hakuoho,M15,10-5-0,M9,9-6-0,M7,8-7-0,M4,8-7-0,M2,8-7-0,M1,6-9-0
Hidenoumi,,,,,,,M15,2-11-2,,,,
Hiradoumi,M5,7-8-0,M6,9-6-0,M3,6-9-0,M5,8-7-0,M4,8-7-0,M3,4-11-0
Hitoshi,,,,,,,,,M17,7-8-0,,
Hokutofuji,M14,0-0-15,,,,,,,,,,
Hoshoryu,O,12-3-0*,Y,5-5-5,Y,12-3-0,Y,1-4-10,Y,13-2-0,Y,12-3-0
Ichiyamamoto,M6,8-7-0,M4,7-8-0,M4,5-10-0,M8,9-6-0,M5,4-11-0,M8,11-4-0
Kagayaki,M16,6-9-0,,,,,,,,,,
Kayo,,,,,M16,7-8-0,M16,4-11-0,,,,
Kinbozan,M14,12-3-0,M5,6-9-0,M8,10-5-0,M3,4-11-0,M8,7-8-0,M8,7-8-0
Kirishima,M1,11-4-0,K,8-7-0,S,11-4-0,S,8-7-0,S,6-9-0,M2,11-4-0
