Name,Rank,Record,RankScore,RecordPoints,TotalScore,PredictedRank
Onosato,Y,13-2-0*,60000,10000,70000,Y
Hoshoryu,Y,13-2-0,60000,10000,70000,Y
Kotozakura,O,9-5-1,55000,2000,57000,O
Wakatakakage,S,6-9-0,50000,-4000,46000,S
Kirishima,S,6-9-0,50000,-4000,46000,K
Takayasu,K,7-8-0,45000,-2000,43000,K
Aonishiki,K,11-4-0,45000,6000,51000,S
Tamawashi,M1,6-9-0,40000,-4000,36000,M4
Abi,M1,3-12-0,40000,-10000,30000,M8
Hakuoho,M2,8-7-0,39000,0,39000,M2
Oho,M2,10-5-0,39000,4000,43000,M1
Atamifuji,M3,5-10-0,38000,-6000,32000,M7
Gonoyama,M3,1-14-0,38000,-14000,24000,M14
Hiradoumi,M4,8-7-0,37000,0,37000,M3
Wakamotoharu,M4,9-6-0,37000,2000,39000,M2
Kotoshoho,M5,3-12-0,36000,-10000,26000,M13
Ichiyamamoto,M5,4-11-0,36000,-8000,28000,M9
Onokatsu,M6,7-8-0,35000,-2000,33000,M6
Kusano,M6,8-7-0,35000,0,35000,M5
Takanosho,M7,12-3-0,34000,8000,42000,M1
Oshoma,M7,9-6-0,34000,2000,36000,M4
Ura,M8,10-5-0,33000,4000,37000,M3
Kinbozan,M8,7-8-0,33000,-2000,31000,M7
Midorifuji,M9,7-8-0,32000,-2000,30000,M8
Fujinokawa,M9,6-9-0,32000,-4000,28000,M10
Daieisho,M10,7-8-0,31000,-2000,29000,M9
Churanoumi,M10,9-6-0,31000,2000,33000,M6
Shodai,M11,10-5-0,30000,4000,34000,M5
Roga,M11,7-8-0,30000,-2000,28000,M10
Takerufuji,M12,0-0-15,29000,-16000,13000,M17
Mitakeumi,M12,7-8-0,29000,-2000,27000,M11
Meisei,M13,5-10-0,28000,-6000,22000,M16
Tokihayate,M13,7-8-0,28000,-2000,26000,M13
Sadanoumi,M14,6-9-0,27000,-4000,23000,M15
Asakoryu,M14,6-9-0,27000,-4000,23000,M16
Tobizaru,M15,9-6-0,26000,2000,28000,M11
Shonannoumi,M15,7-8-0,26000,-2000,24000,M15
Tomokaze,M16,9-6-0,25000,2000,27000,M12
Nishikigi,M16,2-13-0,25000,-12000,13000,M18
Ryuden,M17,9-6-0,24000,2000,26000,M14
Hitoshi,M17,7-8-0,24000,-2000,22000,M17
Shishi,M18,10-5-0,23000,4000,27000,M12
