Name,Rank,Record,RankScore,RecordPoints,TotalScore,PredictedRank
Hoshoryu,Y,5-5-5,60000,-6000,54000,Y
Onosato,O,12-3-0*,55000,8000,63000,O
Kotozakura,O,8-7-0,55000,0,55000,O
Daieisho,S,9-6-0,50000,2000,52000,S
Oho,S,6-9-0,50000,-4000,46000,S
Kirishima,K,8-7-0,45000,0,45000,K
Abi,K,6-9-0,45000,-4000,41000,M2
Wakatakakage,M1,9-6-0,40000,2000,42000,M1
Wakamotoharu,M1,9-6-0,40000,2000,42000,M1
Gonoyama,M2,7-8-0,39000,-2000,37000,M3
Chiyoshoma,M2,6-9-0,39000,-4000,35000,M4
Tobizaru,M3,6-9-0,38000,-4000,34000,M6
Takanosho,M3,3-12-0,38000,-10000,28000,M12
Takayasu,M4,12-3-0,37000,8000,45000,K
Ichiyamamoto,M4,7-8-0,37000,-2000,35000,M5
Ura,M5,7-8-0,36000,-2000,34000,M6
Kinbozan,M5,6-9-0,36000,-4000,32000,M8
Hiradoumi,M6,9-6-0,35000,2000,37000,M3
Takerufuji,M6,9-6-0,35000,2000,37000,M4
Shodai,M7,6-9-0,34000,-4000,30000,M10
Tamawashi,M7,10-5-0,34000,4000,38000,M2
Atamifuji,M8,6-9-0,33000,-4000,29000,M12
Oshoma,M8,9-6-0,33000,2000,35000,M5
Hakuoho,M9,9-6-0,32000,2000,34000,M7
Endo,M9,7-8-0,32000,-2000,30000,M11
Nishikigi,M10,3-12-0,31000,-10000,21000,M15
Shonannoumi,M10,4-11-0,31000,-8000,23000,M14
Midorifuji,M11,9-6-0,30000,2000,32000,M9
Meisei,M11,9-6-0,30000,2000,32000,M9
Takarafuji,M12,3-12-0,29000,-10000,19000,M17
Onokatsu,M12,10-5-0,29000,4000,33000,M7
Nishikifuji,M13,0-2-13,28000,-16000,12000,M18
Shishi,M13,9-6-0,28000,2000,30000,M11
Ryuden,M14,6-9-0,27000,-4000,23000,M15
Churanoumi,M14,11-4-0,27000,6000,33000,M8
Aonishiki,M15,11-4-0,26000,6000,32000,M10
Sadanoumi,M15,8-7-0,26000,0,26000,M13
Asakoryu,M16,6-9-0,25000,-4000,21000,M16
Kotoshoho,M16,8-7-0,25000,0,25000,M14
Mitakeumi,M17,6-9-0,24000,-4000,20000,M16
Shirokuma,M17,5-10-0,24000,-6000,18000,M17
Tokihayate,M18,10-5-0,23000,4000,27000,M13
