Name,Rank,Record,RankScore,RecordPoints,TotalScore,PredictedRank
Terunofuji,Y,2-3-0,60000,-12000,48000,Y
Kotozakura,O,5-10-0,55000,-6000,49000,O
Hoshoryu,O,12-3-0*,55000,8000,63000,O
Onosato,O,10-5-0,55000,4000,59000,O
Wakamotoharu,S,6-9-0,50000,-4000,46000,S
Daieisho,S,11-4-0,50000,6000,56000,S
Abi,K,7-8-0,45000,-2000,43000,M1
Wakatakakage,K,7-8-0,45000,-2000,43000,M1
Takanosho,M1,6-9-0,40000,-4000,36000,M3
Kirishima,M1,11-4-0,40000,6000,46000,K
Tobizaru,M2,7-8-0,39000,-2000,37000,M3
Atamifuji,M2,5-10-0,39000,-6000,33000,M7
Gonoyama,M3,8-7-0,38000,0,38000,M2
Oho,M3,12-3-0,38000,8000,46000,K
Shodai,M4,6-9-0,37000,-4000,33000,M7
Ura,M4,7-8-0,37000,-2000,35000,M4
Hiradoumi,M5,7-8-0,36000,-2000,34000,M6
Chiyoshoma,M5,9-6-0,36000,2000,38000,M2
Takayasu,M6,8-7-0,35000,0,35000,M4
Ichiyamamoto,M6,8-7-0,35000,0,35000,M5
Endo,M7,6-9-0,34000,-4000,30000,M9
Mitakeumi,M7,2-13-0,34000,-12000,22000,M14
Roga,M8,0-3-12,33000,-16000,17000,M17
Takarafuji,M8,5-10-0,33000,-6000,27000,M11
Churanoumi,M9,4-11-0,32000,-8000,24000,M13
Oshoma,M9,8-7-0,32000,0,32000,M8
Tamawashi,M10,9-6-0,31000,2000,33000,M8
Meisei,M10,6-9-0,31000,-4000,27000,M12
Midorifuji,M11,7-8-0,30000,-2000,28000,M10
Takerufuji,M11,10-5-0,30000,4000,34000,M6
Nishikigi,M12,8-7-0,29000,0,29000,M10
Onokatsu,M12,7-8-0,29000,-2000,27000,M12
Shonannoumi,M13,8-7-0,28000,0,28000,M11
Kotoshoho,M13,5-10-0,28000,-6000,22000,M14
Hokutofuji,M14,0-0-15,27000,-16000,11000,M17
Kinbozan,M14,12-3-0,27000,8000,35000,M5
Hakuoho,M15,10-5-0,26000,4000,30000,M9
Kitanowaka,M15,4-5-6,26000,-8000,18000,M16
Tamashoho,M16,6-9-0,25000,-4000,21000,M15
Kagayaki,M16,6-9-0,25000,-4000,21000,M16
Nishikifuji,M17,9-6-0,24000,2000,26000,M13
Tokihayate,M17,7-8-0,24000,-2000,22000,M15
