Name,Rank,Record,RankScore,RecordPoints,TotalScore,PredictedRank
Onosato,Y,11-4-0,60000,6000,66000,Y
Hoshoryu,Y,12-3-0,60000,8000,68000,Y
Kotozakura,O,8-7-0,55000,0,55000,O
Aonishiki,S,12-3-0*,50000,8000,58000,S
Oho,S,7-8-0,50000,-2000,48000,S
Takanosho,K,5-10-0,45000,-6000,39000,M1
Takayasu,K,8-7-0,45000,0,45000,K
Hakuoho,M1,6-9-0,40000,-4000,36000,M4
Wakatakakage,M1,7-8-0,40000,-2000,38000,M2
Kirishima,M2,11-4-0,39000,6000,45000,K
Wakamotoharu,M2,8-7-0,39000,0,39000,M1
Hiradoumi,M3,4-11-0,38000,-8000,30000,M8
Ura,M3,8-7-0,38000,0,38000,M3
Tamawashi,M4,7-8-0,37000,-2000,35000,M4
Oshoma,M4,4-11-0,37000,-8000,29000,M9
Yoshinofuji,M5,9-6-0,36000,2000,38000,M3
Shodai,M5,4-11-0,36000,-8000,28000,M11
Atamifuji,M6,8-7-0,35000,0,35000,M5
Onokatsu,M6,7-8-0,35000,-2000,33000,M6
Churanoumi,M7,8-7-0,34000,0,34000,M6
Abi,M7,5-10-0,34000,-6000,28000,M11
Ichiyamamoto,M8,11-4-0,33000,6000,39000,M2
Kinbozan,M8,7-8-0,33000,-2000,31000,M7
Midorifuji,M9,6-9-0,32000,-4000,28000,M12
Tobizaru,M9,6-9-0,32000,-4000,28000,M12
Daieisho,M10,10-5-0,31000,4000,35000,M5
Kotoshoho,M10,7-8-0,31000,-2000,29000,M10
Shishi,M11,6-9-0,30000,-4000,26000,M14
Roga,M11,8-7-0,30000,0,30000,M8
Fujinokawa,M12,9-6-0,29000,2000,31000,M7
Tomokaze,M12,7-8-0,29000,-2000,27000,M14
Gonoyama,M13,9-6-0,28000,2000,30000,M9
Mitakeumi,M13,7-8-0,28000,-2000,26000,M15
Ryuden,M14,7-8-0,27000,-2000,25000,M15
Tokihayate,M14,9-6-0,27000,2000,29000,M10
Nishikifuji,M15,9-6-0,26000,2000,28000,M13
Shonannoumi,M15,3-12-0,26000,-10000,16000,M17
Oshoumi,M16,7-8-0,25000,-2000,23000,M16
Sadanoumi,M16,4-11-0,25000,-8000,17000,M17
Chiyoshoma,M17,10-5-0,24000,4000,28000,M13
Asakoryu,M17,8-7-0,24000,0,24000,M16
Meisei,M18,1-5-9,23000,-14000,9000,M18
