Name,Rank,Record,RankScore,RecordPoints,TotalScore,PredictedRank
Hoshoryu,Y,1-4-10,60000,-14000,46000,Y
Onosato,Y,11-4-0,60000,6000,66000,Y
Kotozakura,O,8-7-0,55000,0,55000,O
Daieisho,S,0-0-15,50000,-16000,34000,M6
Kirishima,S,8-7-0,50000,0,50000,S
Wakatakakage,S,10-5-0,50000,4000,54000,S
Oshoma,K,3-12-0,45000,-10000,35000,M5
Takayasu,K,10-5-0,45000,4000,49000,K
Aonishiki,M1,11-4-0,40000,6000,46000,K
Wakamotoharu,M1,6-9-0,40000,-4000,36000,M4
Oho,M2,7-8-0,39000,-2000,37000,M2
Abi,M2,9-6-0,39000,2000,41000,M1
Onokatsu,M3,6-9-0,38000,-4000,34000,M7
Kinbozan,M3,4-11-0,38000,-8000,30000,M10
Hakuoho,M4,8-7-0,37000,0,37000,M2
Tamawashi,M4,11-4-0,37000,6000,43000,M1
Hiradoumi,M5,8-7-0,36000,0,36000,M4
Meisei,M5,3-12-0,36000,-10000,26000,M13
Takerufuji,M6,5-8-2,35000,-6000,29000,M11
Gonoyama,M6,9-6-0,35000,2000,37000,M3
Tobizaru,M7,3-10-2,34000,-10000,24000,M15
Endo,M7,0-0-15,34000,-16000,18000,M16
Sadanoumi,M8,4-11-0,33000,-8000,25000,M14
Ichiyamamoto,M8,9-6-0,33000,2000,35000,M6
Ura,M9,8-6-1,32000,0,32000,M8
Chiyoshoma,M9,1-14-0,32000,-14000,18000,M17
Atamifuji,M10,11-4-0,31000,6000,37000,M3
Roga,M10,7-8-0,31000,-2000,29000,M12
Takanosho,M11,9-6-0,30000,2000,32000,M8
Tokihayate,M11,6-9-0,30000,-4000,26000,M13
Midorifuji,M12,9-6-0,29000,2000,31000,M9
Asakoryu,M12,6-9-0,29000,-4000,25000,M14
Churanoumi,M13,9-6-0,28000,2000,30000,M10
Shodai,M13,9-6-0,28000,2000,30000,M11
Kusano,M14,11-4-0,27000,6000,33000,M7
Fujinokawa,M14,10-5-0,27000,4000,31000,M9
Kotoshoho,M15,13-2-0*,26000,10000,36000,M5
Hidenoumi,M15,2-11-2,26000,-12000,14000,M18
Kayo,M16,4-11-0,25000,-8000,17000,M17
Mitakeumi,M16,10-5-0,25000,4000,29000,M12
Kotoeiho,M17,6-9-0,24000,-4000,20000,M16
Shishi,M17,7-8-0,24000,-2000,22000,M15
