Name,Rank,Record,RankScore,RecordPoints,TotalScore,PredictedRank
Hoshoryu,Y,12-3-0,60000,8000,68000,Y
Onosato,O,14-1-0*,55000,12000,67000,Y
Kotozakura,O,8-7-0,55000,0,55000,O
Daieisho,S,10-5-0,50000,4000,54000,S
Kirishima,S,11-4-0,50000,6000,56000,S
Takayasu,K,6-9-0,45000,-4000,41000,K
Wakatakakage,K,12-3-0,45000,8000,53000,K
Wakamotoharu,M1,7-8-0,40000,-2000,38000,M1
Oho,M1,7-8-0,40000,-2000,38000,M2
Abi,M2,7-8-0,39000,-2000,37000,M3
Gonoyama,M2,4-11-0,39000,-8000,31000,M8
Tamawashi,M3,6-9-0,38000,-4000,34000,M4
Hiradoumi,M3,6-9-0,38000,-4000,34000,M5
Takerufuji,M4,6-9-0,37000,-4000,33000,M6
Ichiyamamoto,M4,5-10-0,37000,-6000,31000,M9
Ura,M5,5-10-0,36000,-6000,30000,M9
Chiyoshoma,M5,4-11-0,36000,-8000,28000,M11
Oshoma,M6,10-5-0,35000,4000,39000,M1
Tobizaru,M6,7-8-0,35000,-2000,33000,M6
Hakuoho,M7,8-7-0,34000,0,34000,M5
Churanoumi,M7,4-11-0,34000,-8000,26000,M14
Onokatsu,M8,10-5-0,33000,4000,37000,M3
Kinbozan,M8,10-5-0,33000,4000,37000,M4
Aonishiki,M9,11-4-0,32000,6000,38000,M2
Midorifuji,M9,6-9-0,32000,-4000,28000,M12
Meisei,M10,9-6-0,31000,2000,33000,M7
Shodai,M10,6-9-0,31000,-4000,27000,M13
Endo,M11,9-6-0,30000,2000,32000,M7
Shishi,M11,4-11-0,30000,-8000,22000,M15
Atamifuji,M12,8-7-0,29000,0,29000,M10
Takanosho,M12,8-7-0,29000,0,29000,M10
Tokihayate,M13,8-7-0,28000,0,28000,M12
Sadanoumi,M13,10-5-0,28000,4000,32000,M8
Kotoshoho,M14,6-4-5,27000,-4000,23000,M14
Roga,M14,9-6-0,27000,2000,29000,M11
Ryuden,M15,5-10-0,26000,-6000,20000,M16
Shonannoumi,M15,5-10-0,26000,-6000,20000,M17
Kayo,M16,7-8-0,25000,-2000,23000,M15
Nishikigi,M16,6-9-0,25000,-4000,21000,M16
Tamashoho,M17,4-11-0,24000,-8000,16000,M17
Asakoryu,M17,10-5-0,24000,4000,28000,M13
Tochitaikai,M18,4-11-0,23000,-8000,15000,M18
