date,name,venue,city,state,time,id
"Saturday, June 6, 2026",KCS Cards & Collectibles Show,Yuma Fairgrounds Legacy Event Center,Yuma,AZ,11:00 AM - 7:00 PM,20392
"Saturday, June 6, 2026",Kcs Cards and Collectibles show,Yuma fairgrounds legacy event center,Yuma,AZ,11:00 AM - 7:00 PM,19907
"Saturday, June 6, 2026",Overtime Sports Collectible Card Show,Encore Tucson,Tucson,AZ,10:00 AM - 5:00 PM,21581
"Saturday, June 6, 2026",Phoenix Syndicate Trade Show,Renaissance Phoenix Glendale Hotel & Conference Center,Glendale,AZ,10:00 AM - 6:00 PM,25150
"Saturday, June 6, 2026",Phoenix VIP Sports Card Show,VFW Phoenix,Phoenix,AZ,8:00 AM - 1:00 PM,12220
"Saturday, June 6, 2026",Sports Cards and Collectible Show,University Presbyterian Church,Tempe,AZ,10:00 AM - 3:00 PM,20332
"Saturday, June 6, 2026",The Collector's Grid Card Show!,Pearl's Banquet Hall,Mesa,AZ,10:00 AM - 4:00 PM,25478
"Sunday, June 7, 2026",KCS Cards & Collectibles Show,Yuma Fairgrounds Legacy Event Center,Yuma,AZ,11:00 AM - 7:00 PM,20393
"Sunday, June 7, 2026",Phoenix Syndicate Trade Show,Renaissance Phoenix Glendale Hotel & Conference Center,Glendale,AZ,10:00 AM - 6:00 PM,25151
"Sunday, June 7, 2026",Sunday Sportscard and pokemon show,Sun City West Foundation,Sun City West,AZ,1:00 PM - 5:00 PM,23291
"Sunday, June 7, 2026",The Collector's Grid Card Show!,Pearl's Banquet Hall,Mesa,AZ,10:00 AM - 4:00 PM,25479
"Friday, June 12, 2026",Desert Dawg Card Show-After Dark,Arya Reception Hall,Mesa,AZ,5:00 AM - 10:00 PM,26115
"Saturday, June 13, 2026",Power Card Show,San Tan Charter School Recker Campus,Gilbert,AZ,9:00 AM - 3:00 PM,26118
"Sunday, June 14, 2026",Diamond in the Ruff Sportscard and Collectibles Show,Sun City West Foundation,Sun City West,AZ,1:00 PM - 5:00 PM,19199
"Sunday, June 14, 2026",The Power TCG Card Show: June Edition,San Tan Charter School Recker Campus,Gilbert,AZ,10:00 AM - 3:00 PM,26119
"Saturday, June 20, 2026",AZ Vendor Hall Card Show,Calibre Academy,Surprise,AZ,10:00 AM - 3:00 PM,26123
"Saturday, June 20, 2026",Desert Dawg Card Show,Arya Reception Hall,Mesa,AZ,9:00 AM - 2:00 PM,26116
"Saturday, June 20, 2026",Northwest Valley Coin & Card Show,DoubleTree by Hilton Phoenix North,Phoenix,AZ,9:00 AM - 2:30 PM,20706
"Saturday, June 27, 2026",Front Row Card Show Phoenix,State Farm Stadium,Glendale,AZ,11:00 AM - 5:00 PM,23511
"Saturday, June 27, 2026",West Valley TCG Expo 3,Sequoia Pathfinder Academy,Buckeye,AZ,10:00 AM - 3:00 PM,26324
"Sunday, June 28, 2026",Front Row Card Show Phoenix,State Farm Stadium,Glendale,AZ,11:00 AM - 5:00 PM,23550
"Saturday, July 4, 2026",Phoenix VIP Sports Card Show,VFW Phoenix,Phoenix,AZ,8:00 AM - 1:00 PM,12221
"Saturday, July 4, 2026",Sports Cards and Collectible Show,University Presbyterian Church,Tempe,AZ,10:00 AM - 3:00 PM,20333
"Saturday, July 18, 2026",TCGtopia XI,El Zaribah Shrine Auditorium & Conference Center,Phoenix,AZ,10:00 AM - 6:00 PM,25570
"Saturday, July 18, 2026",Tucson Card Vault,Tucson Chinese Cultural Center,Tucson,AZ,11:00 AM - 7:00 PM,24404
"Saturday, July 18, 2026",West Valley TCG Expo 4,Sequoia Pathfinder Academy,Buckeye,AZ,10:00 AM - 3:00 PM,26500
"Sunday, July 19, 2026",Diamond in the Ruff Sportscard and Collectibles Show,Sun City West Foundation,Sun City West,AZ,1:00 PM - 5:00 PM,19200
"Sunday, July 19, 2026",Diamond in the Ruff Sunday Sports Card & Pokémon Show,Sun City West Foundation,Sun City West,AZ,1:00 PM - 5:00 PM,23292
"Sunday, July 19, 2026",TCGtopia XI,El Zaribah Shrine Auditorium & Conference Center,Phoenix,AZ,10:00 AM - 5:00 PM,25571
"Saturday, July 25, 2026",Northwest Valley Coin & Card Show,DoubleTree by Hilton Phoenix North,Phoenix,AZ,9:00 AM - 2:30 PM,20707
"Saturday, July 25, 2026",Sports Cards and Collectible Show,Doubletree By Hilton,Phoenix,AZ,9:00 AM - 2:00 PM,19665
"Saturday, July 25, 2026",West Tucson Card Show (TCG and Sports),Tucson Firefighters Association Union Hall,Tucson,AZ,10:00 AM - 4:00 PM,23409
"Sunday, July 26, 2026",Diamond in the Ruff Sunday Sports Card & Pokémon Show,Sun City West Foundation,Sun City West,AZ,1:00 PM - 5:00 PM,23293
"Saturday, August 1, 2026",Phoenix VIP Sports Card Show,VFW Phoenix,Phoenix,AZ,8:00 AM - 1:00 PM,12222
"Saturday, August 8, 2026",Card Fix TCG Expo,Martin Auto Museum & Event Center,Glendale,AZ,10:00 AM - 4:00 PM,25973
"Saturday, August 8, 2026",CardFix TCG EXPO,Martin's Auto Museum,Glendale,AZ,10:00 AM - 4:00 PM,25954
"Saturday, August 8, 2026",Overtime Sports Collectible Card Show,Encore Tucson,Tucson,AZ,10:00 AM - 5:00 PM,21582
"Sunday, August 9, 2026",Diamond in the Ruff Sunday Sports Card & Pokémon Show,Sun City West Foundation,Sun City West,AZ,1:00 PM - 5:00 PM,23294
"Saturday, August 15, 2026",West Valley TCG Expo 5,Sequoia Pathfinder Academy,Buckeye,AZ,10:00 AM - 3:00 PM,26596
"Sunday, August 16, 2026",Diamond in the Ruff Sportscard and Collectibles Show,Sun City West Foundation,Sun City West,AZ,1:00 PM - 5:00 PM,19201
